['45', '32', '40', '250', '29', '38', '35', '49', '406', '180', '168', '197', '44', '260', '28', '175', '27', '34', '193', '33', '25', '43', '47', '109', '181']
['172', '174', '482', '151', '164', '169', '334', '160', '161', '165', '154', '325', '155', '158', '346', '345', '150', '159', '163', '166', '336', '313', '330', '170', '156']
['461', '187', '157', '185', '323', '470', '304', '459', '460', '416', '178', '450', '471', '458', '337', '99', '445', '467', '347', '452', '468', '411', '472', '462', '326']
['292', '23', '294', '363', '275', '456', '279', '412', '479', '290', '9', '434', '0', '444', '283', '281', '295', '442', '22', '428', '41', '284', '8', '280', '297']
['440', '219', '226', '221', '203', '200', '207', '209', '213', '201', '204', '224', '339', '125', '443', '208', '335', '133', '377', '222', '212', '211', '441', '433', '216']
['5', '21', '3', '6', '24', '15', '11', '374', '264', '10', '46', '270', '353', '373', '327', '20', '2', '17', '12', '18', '367', '425', '365', '356', '1']
['432', '436', '438', '87', '414', '357', '429', '418', '403', '435', '439', '427', '265', '437', '449', '202', '447', '210', '296', '78', '448', '426', '446', '422', '430']
['383', '384', '389', '399', '375', '230', '398', '392', '182', '103', '100', '183', '378', '395', '386', '391', '382', '381', '394', '387', '396', '397', '380', '415', '239']
['245', '312', '244', '227', '242', '30', '235', '400', '234', '287', '401', '333', '298', '282', '288', '246', '173', '243', '225', '229', '249', '240', '247', '286', '293']
['192', '199', '149', '191', '184', '128', '129', '179', '132', '189', '196', '141', '142', '332', '194', '140', '188', '195', '108', '124', '190', '107', '96', '198', '177']
['186', '421', '206', '205', '419', '214', '409', '4', '420', '417', '407', '424', '413', '220', '423', '393', '37', '405', '404', '152', '410', '299', '408', '276', '217']
['385', '83', '81', '97', '91', '95', '89', '76', '94', '75', '84', '167', '85', '88', '285', '90', '86', '303', '379', '77', '82', '277', '80', '92', '289']
['350', '263', '351', '361', '369', '359', '342', '60', '362', '354', '370', '364', '371', '343', '338', '331', '358', '352', '372', '368', '329', '360', '366', '349', '355']
['454', '39', '464', '340', '223', '236', '232', '300', '237', '215', '51', '233', '248', '348', '252', '241', '228', '451', '231', '218', '324', '42', '453', '431', '48']
['61', '14', '54', '74', '52', '13', '71', '57', '7', '56', '111', '73', '55', '58', '64', '328', '69', '63', '50', '70', '341', '16', '455', '65', '376']
['102', '122', '119', '322', '306', '145', '238', '105', '101', '123', '113', '121', '106', '114', '120', '311', '110', '117', '116', '104', '115', '112', '53', '480', '118']
['148', '146', '273', '67', '143', '93', '136', '291', '98', '390', '130', '494', '79', '134', '139', '388', '135', '147', '59', '138', '144', '176', '127', '126', '131']
['162', '484', '487', '463', '481', '476', '465', '496', '489', '474', '469', '478', '495', '488', '475', '485', '498', '490', '493', '483', '486', '344', '457', '477', '497']
['153', '171', '402', '259', '262', '266', '31', '251', '137', '26', '268', '267', '258', '278', '274', '271', '36', '269', '261', '301', '272', '257', '255', '253', '254']
['305', '492', '19', '72', '491', '307', '68', '314', '309', '317', '66', '321', '310', '315', '473', '319', '499', '320', '316', '62', '256', '466', '318', '308', '302']
