['0', '289', '260', '208', '216', '288', '69', '280', '219', '281']
['355', '124', '189', '121', '324', '184', '129', '127', '321', '187']
['367', '259', '369', '368', '360', '253', '364', '257', '385', '362']
['247', '248', '246', '244', '196', '242', '243', '245', '56', '241']
['323', '327', '181', '233', '322', '185', '44', '182', '320', '183']
['166', '361', '363', '125', '27', '91', '97', '162', '33', '122']
['30', '38', '190', '34', '31', '393', '37', '192', '326', '392']
['46', '47', '204', '48', '43', '207', '202', '49', '106', '40']
['232', '16', '287', '230', '239', '226', '236', '231', '227', '238']
['211', '210', '39', '213', '333', '308', '249', '214', '283', '252']
['2', '275', '7', '9', '315', '3', '1', '329', '8', '278']
['349', '294', '379', '301', '290', '344', '306', '291', '376', '305']
['380', '45', '107', '224', '71', '70', '79', '78', '235', '365']
['171', '96', '93', '351', '173', '98', '90', '92', '354', '95']
['61', '18', '68', '62', '58', '12', '222', '65', '55', '297']
['15', '11', '115', '114', '118', '117', '10', '14', '119', '206']
['258', '200', '337', '332', '176', '381', '256', '391', '123', '338']
['195', '19', '295', '194', '191', '17', '197', '198', '193', '144']
['293', '174', '299', '175', '172', '179', '307', '298', '292', '378']
['215', '212', '273', '139', '136', '373', '218', '130', '137', '217']
['154', '345', '383', '140', '347', '304', '240', '300', '309', '303']
['220', '81', '87', '82', '86', '221', '88', '41', '89', '80']
['22', '134', '67', '145', '133', '131', '132', '302', '28', '138']
['146', '149', '60', '143', '148', '64', '147', '142', '105', '141']
['262', '311', '229', '268', '265', '228', '267', '199', '264', '111']
['25', '223', '251', '225', '26', '254', '250', '23', '21', '4']
['343', '285', '341', '36', '158', '340', '348', '282', '346', '342']
['165', '161', '164', '167', '20', '163', '168', '384', '386', '29']
['100', '66', '108', '35', '104', '102', '103', '209', '109', '101']
['387', '286', '382', '284', '188', '388', '94', '180', '99', '389']
['279', '312', '271', '272', '328', '274', '270', '314', '313', '6']
['152', '237', '150', '151', '177', '159', '153', '156', '155', '157']
['74', '72', '73', '331', '75', '336', '335', '339', '352', '334']
['135', '112', '113', '110', '276', '178', '277', '42', '366', '170']
['126', '396', '261', '120', '266', '84', '330', '269', '263', '128']
['394', '398', '399', '296', '53', '353', '397', '390', '63', '395']
['255', '76', '116', '318', '319', '310', '83', '316', '317', '374']
['356', '50', '57', '52', '186', '54', '234', '51', '357', '59']
['370', '371', '85', '24', '13', '372', '377', '375', '5', '32']
['205', '350', '325', '358', '203', '160', '201', '77', '359', '169']
