['209', '202', '130', '200', '396', '201', '204', '203', '114', '205']
['357', '286', '289', '281', '162', '50', '285', '282', '123', '283']
['362', '367', '83', '364', '325', '122', '295', '361', '117', '363']
['306', '320', '370', '390', '324', '328', '326', '327', '314', '321']
['164', '161', '277', '46', '165', '166', '198', '168', '163', '365']
['6', '125', '86', '126', '218', '206', '121', '215', '127', '120']
['71', '77', '79', '199', '76', '207', '78', '220', '284', '214']
['47', '41', '398', '128', '43', '42', '152', '288', '48', '368']
['9', '49', '110', '129', '169', '137', '249', '287', '329', '369']
['10', '89', '20', '81', '87', '80', '85', '290', '293', '84']
['149', '256', '232', '264', '170', '208', '251', '334', '213', '250']
['12', '59', '92', '15', '19', '366', '40', '292', '332', '358']
['13', '296', '337', '133', '173', '331', '338', '330', '333', '339']
['309', '54', '171', '176', '174', '175', '179', '172', '178', '374']
['67', '65', '387', '66', '60', '69', '61', '64', '39', '62']
['381', '384', '389', '385', '388', '216', '386', '383', '160', '382']
['55', '275', '279', '273', '272', '270', '257', '297', '271', '274']
['184', '188', '187', '180', '181', '182', '258', '189', '183', '378']
['294', '217', '355', '253', '254', '219', '259', '211', '136', '379']
['177', '108', '195', '344', '345', '346', '349', '341', '340', '380']
['17', '255', '113', '141', '291', '221', '102', '301', '300', '269']
['22', '375', '261', '267', '266', '222', '262', '302', '342', '45']
['90', '63', '393', '143', '316', '310', '263', '303', '319', '311']
['142', '192', '193', '88', '191', '224', '197', '304', '190', '134']
['354', '356', '351', '145', '68', '225', '265', '350', '359', '237']
['280', '139', '131', '146', '240', '132', '278', '138', '135', '348']
['307', '154', '98', '147', '99', '196', '96', '97', '91', '95']
['140', '53', '360', '148', '58', '57', '268', '308', '51', '56']
['397', '299', '109', '11', '158', '229', '16', '14', '18', '317']
['35', '37', '32', '150', '34', '230', '30', '31', '305', '124']
['223', '186', '107', '315', '44', '260', '234', '185', '105', '245']
['241', '72', '246', '248', '243', '244', '242', '312', '352', '392']
['82', '73', '101', '106', '104', '335', '38', '313', '353', '103']
['7', '74', '322', '226', '194', '93', '377', '391', '347', '394']
['52', '156', '112', '155', '100', '4', '228', '151', '159', '395']
['36', '23', '25', '75', '29', '28', '276', '27', '21', '24']
['70', '323', '8', '157', '3', '1', '94', '5', '2', '167']
['227', '247', '376', '210', '373', '372', '153', '318', '371', '144']
['115', '298', '119', '118', '252', '111', '33', '399', '116', '343']
['212', '235', '239', '336', '233', '238', '26', '231', '236']
