['0', '132', '219', '300', '173']
['123', '463', '155', '301', '306']
['116', '51', '202', '138', '402']
['3', '103', '203', '275', '14']
['4', '104', '139', '198', '389']
['5', '105', '205', '263', '330']
['356', '106', '206', '401', '70']
['7', '125', '189', '307', '335']
['163', '283', '270', '308', '107']
['241', '208', '209', '346', '409']
['10', '110', '96', '310', '410']
['323', '295', '211', '230', '411']
['455', '112', '212', '32', '53']
['26', '422', '213', '75', '136']
['430', '442', '214', '314', '414']
['44', '115', '46', '315', '415']
['16', '33', '160', '150', '416']
['133', '117', '286', '287', '417']
['67', '375', '246', '318', '418']
['19', '119', '298', '319', '419']
['20', '120', '63', '320', '420']
['225', '299', '221', '172', '359']
['22', '76', '222', '322', '113']
['89', '483', '472', '460', '423']
['1', '124', '224', '183', '424']
['83', '351', '176', '325', '425']
['489', '191', '177', '468', '245']
['27', '432', '311', '366', '427']
['464', '37', '421', '332', '428']
['29', '12', '38', '329', '429']
['114', '278', '242', '237', '261']
['31', '131', '231', '9', '73']
['272', '159', '232', '328', '186']
['486', '197', '233', '294', '433']
['34', '490', '234', '372', '482']
['35', '174', '235', '407', '435']
['36', '413', '236', '446', '95']
['434', '137', '405', '226', '445']
['229', '302', '238', '338', '438']
['269', '204', '239', '339', '309']
['192', '354', '240', '393', '440']
['167', '369', '331', '449', '441']
['42', '142', '495', '86', '291']
['43', '143', '243', '343', '443']
['15', '473', '168', '475', '349']
['45', '28', '90', '345', '437']
['312', '146', '218', '458', '129']
['47', '164', '247', '347', '447']
['48', '250', '248', '386', '134']
['49', '149', '223', '444', '341']
['404', '316', '148', '336', '450']
['102', '363', '251', '496', '451']
['52', '152', '252', '352', '215']
['412', '228', '165', '353', '453']
['54', '154', '254', '484', '426']
['456', '201', '313', '355', '23']
['56', '156', '256', '39', '55']
['57', '179', '257', '342', '169']
['77', '485', '258', '358', '439']
['59', '289', '259', '153', '487']
['60', '382', '260', '360', '11']
['61', '195', '194', '344', '461']
['62', '18', '50', '362', '462']
['2', '406', '280', '151', '101']
['64', '147', '264', '364', '126']
['65', '158', '157', '210', '66']
['21', '324', '266', '317', '466']
['376', '41', '267', '367', '128']
['68', '281', '8', '368', '326']
['69', '493', '6', '395', '469']
['268', '170', '109', '370', '187']
['71', '171', '271', '379', '471']
['72', '448', '465', '334', '249']
['431', '400', '273', '253', '144']
['387', '140', '274', '374', '217']
['377', '175', '396', '118', '390']
['122', '361', '276', '408', '476']
['108', '348', '277', '255', '477']
['78', '178', '130', '378', '478']
['200', '265', '279', '371', '479']
['80', '180', '305', '282', '480']
['383', '181', '244', '381', '481']
['82', '182', '380', '227', '467']
['127', '166', '85', '81', '24']
['84', '184', '304', '384', '135']
['58', '185', '327', '385', '373']
['357', '25', '474', '40', '321']
['87', '470', '285', '196', '459']
['88', '220', '98', '388', '498']
['350', '207', '100', '262', '337']
['454', '190', '290', '216', '188']
['91', '145', '30', '391', '491']
['92', '13', '292', '392', '492']
['79', '193', '293', '340', '457']
['94', '403', '111', '394', '494']
['436', '161', '333', '141', '452']
['284', '74', '296', '303', '162']
['97', '17', '297', '397', '497']
['288', '365', '93', '398', '488']
['99', '199', '121', '399', '499']
