['459', '51', '101', '103', '401', '404', '402', '406', '409', '110']
['53', '52', '56', '451', '59', '279', '458', '55', '57', '280']
['198', '191', '105', '192', '50', '195', '44', '194']
['460', '154', '306', '302', '304', '454', '308', '307', '155', '301']
['456', '452', '457', '205', '455', '2', '203', '201', '209', '210']
['326', '372', '371', '376', '380', '378', '373', '84', '379', '375']
['73', '128', '157', '151', '152', '153', '6', '8', '160', '158']
['356', '60', '46', '358', '354', '352', '351', '357', '355', '359']
['9', '257', '360', '10', '4', '1', '252', '7', '3', '353']
['254', '305', '256', '260', '310', '258', '255', '251', '259', '253']
['443', '445', '361', '411', '461', '444', '370', '448', '450', '449']
['109', '414', '212', '136', '104', '107', '216', '106', '102', '211']
['116', '113', '114', '112', '138', '111', '266', '119', '115', '269']
['14', '13', '11', '469', '12', '466', '468', '18', '17', '15']
['170', '167', '165', '363', '161', '162', '365', '432', '169', '164']
['368', '66', '61', '67', '62', '69', '65', '64', '70']
['315', '313', '316', '317', '314', '312', '320', '140', '131', '137']
['26', '214', '215', '218', '318', '197', '213', '219', '311', '220']
['19', '332', '30', '319', '163', '166', '20', '335', '339', '168']
['263', '267', '120', '400', '262', '270', '261', '265', '117', '264']
['272', '289', '99', '271', '428', '281', '288', '278', '274', '273']
['327', '72', '76', '323', '322', '75', '422', '472', '423', '328']
['23', '86', '276', '437', '223', '21', '330', '28', '83', '230']
['434', '480', '34', '36', '438', '474', '439', '440', '436', '433']
['471', '133', '329', '324', '225', '321', '325', '374', '475', '478']
['159', '228', '221', '453', '206', '208', '227', '204', '224', '447']
['124', '127', '122', '426', '130', '126', '377', '427', '108', '123']
['364', '366', '362', '178', '171', '179', '369', '367', '174', '121']
['79', '77', '80', '479', '473', '476', '74', '78', '71', '303']
['412', '237', '417', '413', '415', '419', '309', '420', '416', '418']
['31', '483', '435', '486', '487', '331', '431', '481', '336', '338']
['85', '82', '425', '182', '81', '430', '87', '424', '88', '421']
['482', '337', '340', '295', '333', '202', '297', '334', '343', '139']
['467', '134', '465', '470', '384', '132', '177', '463', '464', '462']
['181', '32', '284', '285', '286', '290', '283', '188', '184', '282']
['207', '25', '231', '27', '29', '238', '24', '235', '240', '22']
['268', '183', '187', '63', '135', '387', '186', '477', '189']
['248', '489', '485', '244', '54', '90', '488', '484', '150', '58']
['39', '89', '35', '37', '388', '383', '38', '118', '40', '494']
['68', '143', '190', '144', '490', '146', '148', '147', '149', '142']
['41', '222', '492', '217', '226', '491', '495', '48', '229', '45']
['446', '141', '275', '396', '392', '442', '299', '246', '277', '391']
['239', '93', '5', '100', '232', '185', '233', '234', '236', '97']
['180', '390', '129', '386', '287', '382', '389', '125', '381', '385']
['145', '408', '341', '345', '347', '429', '342', '349', '346', '350']
['96', '196', '193', '393', '92', '344', '199', '200', '348']
['47', '49', '294', '395', '397', '43', '394', '42', '398', '399']
['156', '405', '173', '403', '176', '172', '407', '175', '441', '410']
['493', '245', '249', '250', '33', '242', '247', '243', '241', '16']
['95', '300', '291', '298', '296', '91', '98', '292', '293', '94']
