['112', '276', '348', '372']
['258', '148', '145', '172']
['214', '126', '211', '16']
['3', '127', '485', '480']
['4', '200', '252', '448']
['255', '129', '253', '10']
['242', '397', '393', '247']
['222', '308', '219', '452']
['8', '132', '256', '380']
['135', '133', '130', '128']
['377', '91', '272', '382']
['11', '9', '259', '13']
['12', '389', '318', '68']
['124', '475', '261', '157']
['174', '183', '262', '386']
['15', '139', '263', '387']
['374', '140', '383', '375']
['17', '141', '178', '136']
['18', '385', '277', '390']
['19', '33', '303', '298']
['20', '338', '357', '345']
['257', '249', '269', '254']
['22', '146', '304', '482']
['23', '147', '403', '395']
['125', '121', '113', '396']
['25', '271', '273', '270']
['26', '150', '274', '398']
['316', '354', '275', '399']
['414', '427', '246', '400']
['29', '31', '405', '401']
['187', '154', '109', '159']
['153', '155', '158', '149']
['279', '156', '320', '404']
['143', '142', '280', '479']
['34', '32', '411', '406']
['286', '315', '283', '285']
['36', '428', '284', '408']
['37', '402', '407', '409']
['38', '162', '105', '117']
['39', '278', '287', '282']
['293', '288', '60', '57']
['415', '41', '44', '413']
['42', '469', '465', '28']
['43', '426', '291', '46']
['289', '241', '292', '294']
['45', '21', '40', '417']
['325', '346', '487', '335']
['260', '171', '295', '290']
['436', '433', '296', '420']
['49', '90', '248', '95']
['50', '394', '391', '422']
['134', '175', '299', '423']
['52', '421', '300', '476']
['53', '226', '301', '48']
['268', '265', '166', '167']
['55', '47', '267', '54']
['56', '180', '177', '234']
['168', '169', '373', '173']
['58', '182', '328', '179']
['59', '138', '331', '334']
['164', '184', '131', '432']
['61', '314', '309', '305']
['62', '71', '310', '434']
['63', '302', '311', '435']
['64', '188', '312', '356']
['266', '189', '313', '379']
['66', '190', '185', '191']
['67', '160', '161', '165']
['384', '192', '370', '440']
['69', '193', '443', '441']
['70', '65', '431', '430']
['437', '27', '319', '317']
['72', '196', '281', '444']
['73', '88', '321', '326']
['239', '237', '459', '446']
['75', '199', '197', '194']
['76', '381', '324', '376']
['77', '176', '181', '449']
['78', '416', '445', '79']
['439', '203', '327', '451']
['80', '204', '306', '186']
['81', '347', '419', '453']
['201', '206', '330', '454']
['83', '207', '205', '202']
['84', '474', '332', '14']
['85', '388', '333', '329']
['86', '210', '429', '458']
['378', '250', '418', '24']
['323', '212', '336', '341']
['464', '213', '456', '461']
['463', '2', '144', '462']
['51', '215', '339', '297']
['92', '216', '340', '89']
['93', '152', '460', '457']
['368', '218', '35', '466']
['1', '5', '343', '7']
['96', '220', '344', '468']
['217', '221', '209', '30']
['98', '467', '170', '470']
['99', '223', '307', '471']
['100', '224', '97', '229']
['101', '337', '349', '351']
['120', '412', '350', '116']
['492', '227', '473', '137']
['104', '228', '352', '424']
['342', '472', '353', '477']
['106', '230', '231', '478']
['438', '447', '355', '442']
['108', '359', '425', '392']
['163', '233', '238', '0']
['110', '107', '358', '225']
['111', '235', '232', '483']
['481', '236', '360', '484']
['123', '151', '244', '251']
['114', '264', '362', '371']
['115', '74', '363', '118']
['208', '240', '493', '488']
['410', '119', '365', '489']
['455', '6', '450', '490']
['366', '243', '367', '491']
['102', '369', '94', '103']
['322', '245', '361', '364']
['122', '198', '195', '494']
['495', '87', '486', '82']
