['419', '74', '352', '411', '323', '129', '120', '369', '160', '408', '484', '220', '494', '260', '124', '413', '98', '259', '63', '342', '273', '181', '440', '42', '261']
['142', '434', '41', '150', '438', '133', '121', '141', '412', '145', '341', '140', '228', '430', '423', '325', '18', '327', '442', '381', '429', '242', '25', '461', '306']
['456', '487', '148', '435', '82', '317', '109', '210', '224', '122', '202', '481', '17', '245', '200', '105', '322', '380', '362', '493', '217', '28', '466', '372', '143']
['3', '23', '19', '249', '330', '103', '278', '302', '459', '275', '385', '188', '243', '111', '432', '426', '235', '345', '363', '383', '390', '386', '113', '490', '231']
['4', '392', '263', '64', '84', '104', '250', '255', '269', '56', '379', '151', '360', '264', '43', '304', '187', '344', '371', '384', '404', '236', '479', '234', '67']
['5', '159', '375', '65', '244', '482', '209', '20', '169', '185', '266', '46', '128', '265', '300', '305', '301', '441', '170', '296', '156', '14', '445', '324', '415']
['6', '182', '108', '55', '117', '310', '167', '164', '465', '417', '406', '138', '216', '467', '16', '31', '463', '100', '402', '281', '198', '303', '433', '118', '486']
['237', '27', '47', '189', '177', '123', '127', '191', '162', '485', '180', '483', '223', '365', '287', '437', '313', '436', '367', '211', '71', '427', '221', '37', '69']
['195', '10', '186', '158', '0', '194', '425', '312', '161', '348', '307', '280', '455', '444', '335', '308', '457', '130', '268', '471', '286', '428', '448', '468', '274']
['9', '29', '21', '378', '343', '24', '346', '219', '97', '88', '453', '326', '85', '446', '289', '309', '329', '349', '68', '389', '38', '401', '449', '469', '77']
['451', '96', '89', '284', '107', '57', '496', '227', '295', '81', '87', '230', '477', '460', '116', '339', '83', '137', '370', '497', '334', '8', '450', '470', '184']
['424', '222', '292', '407', '206', '39', '131', '199', '395', '270', '26', '398', '320', '2', '291', '40', '331', '397', '166', '391', '387', '431', '106', '48', '214']
['340', '399', '52', '79', '92', '204', '480', '50', '203', '192', '59', '338', '252', '258', '51', '246', '332', '476', '135', '95', '168', '489', '60', '247', '492']
['256', '33', '53', '73', '464', '443', '267', '153', '173', '193', '410', '233', '253', '400', '183', '34', '333', '472', '409', '393', '72', '149', '257', '473', '176']
['337', '125', '382', '279', '94', '114', '115', '229', '174', '225', '491', '110', '254', '58', '294', '132', '298', '190', '76', '394', '336', '420', '454', '179', '240']
['15', '35', '152', '75', '421', '80', '12', '155', '175', '154', '32', '403', '144', '1', '197', '416', '171', '355', '366', '163', '90', '239', '374', '357', '44']
['207', '36', '146', '248', '30', '321', '136', '196', '215', '226', '45', '388', '213', '354', '271', '288', '414', '356', '376', '396', '315', '201', '165', '49', '205']
['361', '353', '86', '126', '134', '147', '350', '157', '359', '139', '364', '358', '347', '368', '297', '102', '262', '373', '377', '351', '212', '172', '328', '272', '251']
['241', '474', '488', '61', '7', '452', '405', '447', '178', '276', '91', '238', '311', '462', '316', '319', '232', '66', '22', '475', '418', '11', '458', '70', '498']
['478', '495', '314', '285', '99', '119', '101', '283', '218', '54', '208', '293', '13', '78', '299', '318', '93', '422', '499', '62', '282', '439', '290', '277', '112']
