['344', '202', '328', '90', '40', '378', '141', '116', '350', '98', '341', '223', '359', '114', '1', '76']
['259', '196', '189', '93', '333', '102', '134', '187', '62', '122', '24', '251', '148', '47', '253', '258']
['346', '266', '355', '92', '171', '370', '244', '186', '304', '145', '9', '256', '292', '336', '339', '158']
['71', '345', '161', '33', '133', '396', '325', '276', '269', '124', '209', '247', '394', '191', '156', '153']
['39', '168', '167', '2', '179', '372', '246', '188', '334', '125', '204', '95', '214', '45', '77', '65']
['64', '88', '3', '69', '26', '386', '241', '31', '203', '369', '138', '154', '215', '83', '363', '267']
['397', '178', '265', '311', '289', '142', '240', '222', '358', '127', '389', '313', '193', '200', '302', '308']
['343', '271', '37', '238', '233', '82', '28', '10', '250', '128', '329', '371', '232', '268', '221', '8']
['121', '159', '103', '239', '136', '6', '242', '13', '208', '139', '123', '273', '323', '57', '149', '310']
['229', '20', '105', '234', '135', '38', '298', '12', '262', '319', '340', '43', '7', '264', '147', '243']
['129', '70', '34', '235', '89', '84', '184', '75', '66', '382', '176', '94', '73', '192', '398', '392']
['249', '275', '60', '284', '155', '337', '132', '286', '260', '58', '36', '321', '219', '54', '305', '112']
['224', '97', '367', '19', '197', '206', '230', '17', '322', '312', '387', '270', '331', '59', '91', '80']
['87', '85', '157', '118', '53', '383', '96', '99', '245', '144', '146', '261', '288', '227', '374', '81']
['297', '278', '376', '231', '163', '300', '166', '137', '49', '160', '381', '162', '100', '207', '201', '279']
['169', '335', '119', '326', '115', '395', '175', '315', '384', '236', '199', '182', '351', '50', '277', '74']
['365', '108', '15', '126', '27', '130', '117', '318', '316', '210', '61', '306', '324', '377', '152', '46']
['216', '109', '317', '172', '164', '285', '291', '237', '151', '18', '290', '357', '283', '52', '110', '349']
['385', '293', '330', '183', '198', '150', '220', '364', '347', '314', '113', '56', '14', '55', '225', '380']
['170', '391', '280', '303', '22', '399', '368', '212', '30', '299', '295', '354', '301', '63', '361', '16']
['173', '320', '23', '177', '332', '44', '309', '375', '120', '190', '185', '35', '211', '48', '400', '42']
['107', '174', '218', '21', '307', '86', '252', '213', '78', '205', '360', '327', '388', '29', '11', '165']
['373', '106', '342', '287', '217', '254', '281', '353', '393', '366', '5', '352', '79', '356', '248', '194']
['195', '131', '348', '143', '32', '296', '180', '362', '68', '140', '25', '41', '263', '111', '338', '274']
['255', '104', '72', '294', '379', '101', '4', '257', '51', '228', '181', '226', '390', '272', '282', '67']
