['389', '341', '101', '221', '162', '251', '283', '311', '401', '451']
['2', '52', '337', '152', '202', '252', '302', '160', '402', '170']
['374', '53', '103', '370', '203', '253', '303', '234', '403', '453']
['4', '54', '194', '428', '210', '270', '488', '119', '404', '454']
['5', '55', '166', '155', '205', '255', '305', '140', '405', '455']
['6', '56', '106', '156', '206', '256', '363', '281', '406', '456']
['429', '57', '107', '157', '207', '257', '307', '357', '102', '457']
['8', '61', '108', '158', '132', '258', '37', '358', '408', '77']
['126', '59', '109', '159', '209', '259', '309', '356', '268', '459']
['10', '333', '110', '352', '193', '260', '68', '360', '410', '3']
['11', '99', '111', '161', '465', '261', '78', '361', '411', '461']
['12', '62', '246', '201', '212', '262', '312', '362', '412', '462']
['13', '63', '113', '432', '301', '263', '313', '306', '413', '463']
['225', '64', '114', '164', '116', '476', '364', '7', '474', '464']
['15', '65', '478', '36', '215', '265', '315', '365', '415', '211']
['16', '25', '292', '105', '216', '266', '391', '366', '416', '466']
['17', '67', '117', '167', '217', '267', '317', '367', '417', '467']
['18', '120', '118', '245', '218', '409', '318', '187', '418', '294']
['19', '69', '184', '178', '219', '269', '319', '369', '125', '469']
['20', '70', '310', '96', '213', '254', '468', '153', '420', '470']
['21', '71', '121', '239', '151', '271', '321', '371', '421', '168']
['22', '72', '122', '172', '222', '272', '322', '372', '422', '472']
['23', '73', '123', '173', '223', '273', '323', '29', '486', '473']
['24', '74', '124', '174', '224', '86', '191', '460', '130', '414']
['66', '75', '419', '175', '14', '275', '190', '375', '425', '475']
['26', '76', '9', '477', '226', '276', '326', '492', '483', '484']
['27', '458', '127', '182', '227', '277', '136', '377', '427', '176']
['28', '499', '128', '169', '228', '180', '328', '378', '154', '220']
['308', '42', '129', '179', '229', '279', '329', '171', '314', '479']
['30', '80', '424', '278', '230', '280', '88', '299', '430', '480']
['31', '386', '131', '181', '231', '359', '331', '381', '431', '208']
['32', '82', '481', '177', '232', '282', '332', '382', '289', '482']
['33', '83', '133', '183', '233', '104', '60', '383', '433', '426']
['34', '84', '437', '354', '353', '284', '334', '35', '434', '264']
['384', '85', '135', '185', '235', '285', '335', '385', '435', '485']
['165', '274', '398', '186', '236', '286', '195', '81', '436', '423']
['373', '87', '137', '368', '237', '287', '407', '387', '134', '487']
['92', '43', '138', '293', '238', '288', '338', '388', '438', '304']
['39', '89', '139', '189', '452', '163', '339', '1', '439', '489']
['40', '90', '355', '325', '240', '290', '340', '390', '327', '490']
['41', '91', '141', '324', '241', '291', '449', '316', '441', '491']
['79', '38', '142', '192', '242', '214', '342', '392', '442', '376']
['330', '93', '143', '204', '243', '188', '343', '393', '443', '493']
['44', '94', '144', '115', '244', '320', '344', '394', '444', '494']
['45', '351', '145', '336', '471', '295', '345', '395', '445', '495']
['46', '379', '146', '400', '112', '296', '346', '396', '446', '496']
['47', '97', '147', '197', '247', '297', '347', '397', '447', '497']
['48', '98', '148', '198', '248', '298', '348', '440', '448', '498']
['49', '58', '149', '199', '249', '380', '349', '399', '51', '95']
['50', '100', '150', '200', '250', '300', '350', '196', '450', '500']
