['0', '457', '33', '300', '293']
['1', '394', '203', '452', '74']
['2', '102', '280', '279', '402']
['3', '27', '201', '303', '187']
['4', '391', '179', '98', '461']
['5', '105', '205', '305', '405']
['6', '87', '206', '350', '406']
['427', '107', '363', '307', '407']
['57', '256', '208', '308', '408']
['63', '109', '209', '309', '409']
['113', '312', '252', '229', '410']
['11', '188', '211', '311', '114']
['143', '184', '167', '110', '412']
['13', '10', '202', '387', '413']
['218', '430', '150', '314', '414']
['292', '115', '215', '315', '415']
['16', '116', '298', '316', '416']
['17', '117', '282', '455', '417']
['245', '47', '296', '40', '418']
['345', '185', '193', '319', '480']
['284', '120', '376', '320', '73']
['253', '168', '104', '321', '421']
['156', '122', '136', '277', '422']
['36', '123', '223', '266', '423']
['24', '445', '242', '324', '424']
['103', '125', '225', '31', '425']
['160', '224', '226', '326', '166']
['332', '25', '227', '327', '217']
['28', '81', '222', '328', '428']
['29', '133', '382', '329', '429']
['30', '130', '230', '306', '198']
['325', '8', '231', '12', '272']
['182', '132', '232', '127', '432']
['138', '129', '233', '333', '433']
['34', '134', '234', '323', '478']
['35', '357', '317', '335', '472']
['23', '341', '236', '336', '436']
['219', '137', '486', '399', '437']
['38', '200', '238', '221', '438']
['39', '92', '175', '154', '439']
['318', '140', '240', '340', '440']
['41', '278', '448', '476', '45']
['151', '364', '126', '195', '442']
['165', '331', '243', '343', '483']
['44', '204', '244', '344', '444']
['441', '145', '361', '19', '124']
['46', '464', '246', '346', '496']
['490', '147', '247', '347', '349']
['75', '148', '248', '26', '241']
['49', '48', '249', '310', '449']
['50', '32', '250', '330', '450']
['258', '42', '251', '358', '379']
['52', '302', '431', '352', '301']
['53', '153', '88', '353', '186']
['54', '339', '254', '18', '454']
['55', '276', '270', '355', '235']
['304', '493', '171', '356', '456']
['131', '157', '257', '262', '199']
['58', '183', '51', '465', '458']
['59', '159', '259', '158', '459']
['434', '348', '260', '360', '460']
['61', '161', '261', '334', '404']
['62', '162', '173', '362', '462']
['9', '163', '263', '207', '463']
['64', '43', '264', '142', '146']
['65', '106', '71', '80', '351']
['66', '196', '15', '268', '466']
['67', '212', '181', '367', '467']
['294', '121', '213', '368', '468']
['69', '169', '342', '453', '469']
['70', '170', '381', '370', '470']
['265', '108', '180', '371', '471']
['72', '172', '210', '372', '435']
['420', '135', '273', '474', '473']
['401', '174', '274', '374', '373']
['322', '239', '214', '375', '475']
['76', '176', '14', '220', '359']
['295', '177', '149', '392', '477']
['78', '178', '164', '378', '60']
['79', '144', '152', '451', '479']
['365', '37', '366', '380', '419']
['128', '267', '281', '255', '481']
['82', '275', '447', '7', '482']
['83', '228', '283', '383', '297']
['84', '112', '20', '384', '395']
['85', '119', '285', '385', '89']
['86', '369', '286', '386', '237']
['141', '403', '287', '313', '487']
['21', '111', '288', '388', '411']
['485', '189', '289', '389', '489']
['90', '291', '290', '390', '118']
['91', '191', '190', '338', '491']
['139', '192', '271', '377', '492']
['93', '354', '400', '393', '22']
['94', '194', '68', '484', '494']
['95', '269', '77', '426', '495']
['96', '101', '155', '396', '446']
['97', '197', '443', '397', '497']
['56', '488', '216', '398', '498']
['99', '100', '299', '337', '499']
