['10', '374', '230', '221', '337', '80', '317', '59', '313', '328', '110', '315', '359', '208', '224', '129', '251', '62', '12', '368', '354', '97', '388', '4', '137']
['231', '314', '357', '66', '94', '223', '216', '113', '105', '236', '153', '177', '383', '209', '61', '82', '143', '39', '332', '305', '108', '28', '353', '185', '9']
['265', '267', '324', '182', '164', '126', '98', '161', '363', '228', '250', '285', '194', '53', '111', '29', '244', '246', '136', '306', '395', '362', '37', '370', '297']
['268', '20', '349', '229', '391', '34', '372', '239', '131', '22', '316', '152', '199', '52', '51', '181', '259', '33', '16', '192', '247', '3', '234', '15', '212']
['331', '318', '32', '41', '364', '326', '319', '256', '291', '6', '27', '190', '215', '69', '118', '13', '150', '276', '292', '289', '378', '340', '195', '262', '352']
['174', '21', '58', '387', '253', '77', '101', '191', '280', '149', '165', '219', '309', '213', '235', '78', '210', '116', '286', '5', '196', '341', '155', '146', '151']
['312', '204', '119', '54', '356', '133', '117', '304', '134', '106', '379', '303', '159', '30', '327', '184', '99', '278', '189', '95', '72', '342', '89', '345', '393']
['339', '205', '384', '55', '296', '81', '226', '351', '188', '336', '17', '293', '112', '145', '157', '350', '14', '201', '206', '202', '220', '343', '74', '375', '18']
['8', '88', '222', '48', '308', '381', '2', '86', '396', '24', '168', '367', '200', '180', '130', '264', '46', '175', '71', '392', '358', '344', '325', '36', '31']
['56', '300', '365', '258', '45', '144', '23', '198', '64', '166', '68', '257', '302', '217', '207', '271', '139', '140', '311', '115', '348', '193', '361', '377', '274']
['301', '298', '102', '261', '179', '385', '91', '122', '148', '243', '172', '186', '225', '398', '109', '329', '266', '333', '67', '104', '227', '346', '218', '277', '338']
['366', '121', '160', '96', '310', '0', '107', '123', '47', '83', '171', '294', '120', '232', '11', '44', '322', '283', '299', '79', '183', '347', '142', '85', '203']
['321', '282', '156', '263', '170', '38', '197', '124', '7', '249', '288', '237', '360', '279', '147', '376', '382', '284', '242', '275', '245', '389', '70', '380', '214']
['60', '211', '42', '127', '138', '173', '355', '125', '103', '1', '390', '254', '73', '269', '162', '386', '100', '334', '43', '90', '270', '307', '57', '25', '35']
['114', '295', '65', '252', '93', '241', '394', '233', '135', '320', '260', '26', '273', '335', '369', '19', '187', '132', '84', '163', '92', '238', '397', '290', '141']
['371', '87', '40', '63', '158', '49', '323', '154', '75', '167', '169', '178', '76', '248', '272', '255', '176', '287', '50', '128', '373', '281', '240', '330', '399']
