['26', '57', '50', '242', '29', '124', '66', '96', '85', '49']
['34', '175', '132', '129', '101', '114', '13', '182', '157', '240']
['226', '109', '121', '217', '190', '112', '220', '176', '70', '227']
['71', '165', '80', '231', '133', '67', '44', '110', '64', '134']
['4', '15', '150', '79', '210', '238', '223', '234', '21', '137']
['5', '46', '146', '81', '211', '18', '58', '160', '205', '230']
['43', '36', '56', '115', '225', '207', '224', '39', '206', '232']
['7', '201', '28', '105', '20', '98', '247', '125', '123', '3']
['16', '128', '164', '184', '12', '196', '153', '97', '90', '195']
['119', '1', '59', '27', '203', '141', '155', '45', '25', '166']
['249', '35', '60', '86', '177', '135', '138', '93', '167', '235']
['63', '245', '52', '116', '111', '136', '248', '144', '76', '236']
['139', '37', '181', '82', '100', '204', '180', '23', '31', '147']
['99', '38', '40', '88', '118', '215', '171', '69', '213', '41']
['187', '174', '214', '200', '229', '42', '106', '189', '72', '108']
['183', '22', '179', '162', '51', '199', '102', '19', '47', '14']
['54', '84', '172', '91', '152', '75', '0', '120', '216', '73']
['17', '87', '202', '92', '117', '142', '233', '192', '65', '61']
['94', '163', '6', '185', '95', '83', '168', '130', '156', '243']
['53', '33', '191', '228', '149', '237', '68', '11', '32', '244']
['103', '159', '89', '126', '188', '145', '170', '219', '2', '198']
['193', '74', '158', '140', '62', '107', '178', '173', '221', '9']
['246', '212', '24', '48', '122', '154', '127', '197', '30', '241']
['113', '148', '169', '104', '186', '143', '194', '239', '55', '209']
['161', '131', '222', '151', '8', '77', '78', '208', '218', '10']
