['1', '231', '258', '59', '121', '188', '273', '211', '241', '19']
['2', '219', '53', '267', '15', '300', '182', '204', '22', '144']
['199', '78', '63', '93', '123', '153', '264', '113', '243', '278']
['294', '285', '74', '94', '106', '11', '183', '104', '139', '201']
['16', '13', '132', '95', '125', '155', '108', '67', '227', '275']
['6', '297', '66', '31', '200', '263', '186', '187', '246', '189']
['41', '250', '265', '283', '76', '137', '216', '217', '247', '232']
['255', '38', '68', '98', '130', '158', '262', '218', '222', '133']
['274', '39', '181', '99', '242', '159', '90', '40', '249', '203']
['215', '110', '224', '100', '154', '229', '259', '220', '42', '280']
['3', '32', '71', '101', '180', '79', '191', '72', '298', '281']
['12', '299', '120', '128', '202', '147', '5', '149', '252', '142']
['35', '75', '116', '151', '196', '282', '124', '51', '253', '141']
['14', '62', '174', '221', '223', '164', '240', '135', '254', '165']
['230', '45', '43', '291', '287', '56', '195', '225', '8', '168']
['136', '237', '126', '57', '9', '166', '150', '172', '256', '286']
['17', '292', '77', '269', '157', '36', '277', '293', '257', '185']
['65', '48', '122', '87', '117', '127', '245', '235', '61', '60']
['82', '131', '161', '271', '214', '169', '109', '160', '190', '289']
['20', '47', '34', '260', '140', '170', '171', '91', '192', '175']
['228', '213', '81', '111', '97', '112', '118', '276', '64', '233']
['178', '52', '115', '7', '163', '54', '89', '33', '80', '167']
['96', '44', '284', '143', '18', '198', '279', '26', '156', '173']
['24', '50', '197', '114', '193', '261', '212', '83', '206', '134']
['25', '69', '85', '194', '145', '290', '37', '27', '55', '29']
['205', '226', '138', '152', '146', '176', '30', '236', '266', '296']
['58', '234', '208', '177', '73', '70', '207', '46', '92', '4']
['28', '21', '88', '103', '148', '84', '86', '238', '268', '251']
['107', '102', '272', '119', '248', '179', '209', '162', '295', '105']
['184', '288', '23', '129', '270', '49', '210', '10', '239', '244']
