['274', '114', '115', '103', '242', '5', '240', '280', '116', '150']
['100', '27', '81', '121', '245', '278', '230', '281', '118', '117']
['2', '42', '342', '49', '223', '343', '41', '331', '322', '213']
['3', '311', '83', '167', '25', '314', '258', '283', '320', '363']
['59', '44', '224', '124', '233', '164', '155', '251', '134', '151']
['358', '362', '315', '396', '324', '370', '371', '388', '26', '365']
['299', '293', '86', '55', '166', '206', '89', '312', '43', '133']
['50', '47', '4', '302', '68', '348', '247', '323', '326', '129']
['65', '48', '6', '308', '329', '56', '248', '307', '328', '316']
['148', '186', '178', '153', '184', '209', '130', '157', '168', '208']
['335', '23', '193', '57', '28', '276', '347', '367', '264', '357']
['11', '51', '91', '63', '289', '384', '284', '294', '75', '259']
['255', '207', '92', '132', '191', '95', '189', '292', '332', '372']
['34', '390', '169', '344', '381', '216', '29', '366', '333', '373']
['290', '54', '94', '287', '239', '97', '298', '291', '93', '31']
['214', '159', '160', '211', '84', '215', '158', '174', '128', '149']
['87', '285', '96', '105', '38', '62', '256', '218', '336', '8']
['136', '204', '122', '195', '177', '82', '175', '297', '194', '152']
['18', '58', '98', '383', '334', '296', '261', '319', '339', '378']
['142', '22', '286', '288', '88', '219', '235', '376', '349', '359']
['228', '171', '263', '345', '180', '282', '53', '300', '340', '380']
['20', '61', '101', '141', '125', '221', '246', '161', '375', '173']
['301', '394', '387', '262', '0', '368', '369', '137', '21', '138']
['7', '24', '120', '275', '183', '162', '182', '350', '202', '36']
['139', '196', '126', '106', '271', '232', '172', '220', '199', '99']
['163', '188', '229', '145', '185', '40', '203', '140', '104', '165']
['10', '260', '144', '244', '135', '231', '66', '236', '346', '386']
['72', '127', '107', '147', '187', '143', '197', '225', '110', '102']
['205', '266', '108', '112', '131', '113', '268', '46', '227', '176']
['39', '30', '355', '351', '252', '265', '269', '309', '45', '13']
['398', '395', '360', '17', '279', '241', '364', '310', '303', '9']
['212', '123', '111', '154', '170', '222', '109', '226', '270', '85']
['67', '74', '243', '190', '192', '52', '272', '70', '321', '392']
['33', '73', '304', '14', '352', '37', '273', '313', '353', '361']
['146', '32', '338', '1', '337', '234', '15', '341', '354', '385']
['35', '327', '356', '389', '374', '217', '325', '19', '257', '253']
['377', '76', '198', '156', '200', '71', '210', '237', '80', '181']
['12', '77', '393', '382', '267', '379', '277', '317', '305', '397']
['60', '78', '90', '79', '238', '306', '201', '318', '179', '69']
['16', '249', '119', '391', '64', '295', '330', '254', '250', '399']
