['481', '418', '311', '474', '355', '149', '20', '366', '68', '369', '57', '122', '271', '238', '151', '362']
['296', '269', '126', '262', '310', '28', '279', '407', '415', '210', '89', '17', '383', '331', '492', '382']
['444', '446', '396', '443', '263', '272', '442', '449', '213', '359', '242', '496', '253', '434', '136', '186']
['40', '54', '166', '255', '482', '182', '419', '26', '447', '52', '453', '237', '158', '104', '130', '347']
['340', '228', '257', '239', '454', '94', '209', '221', '367', '353', '346', '472', '170', '132', '196', '85']
['285', '284', '80', '178', '398', '268', '215', '176', '465', '121', '47', '29', '207', '370', '461', '281']
['349', '246', '328', '84', '125', '35', '123', '351', '138', '32', '439', '467', '320', '313', '490', '308']
['233', '399', '377', '185', '413', '201', '325', '69', '24', '486', '493', '270', '37', '113', '322', '160']
['198', '46', '216', '188', '144', '294', '432', '3', '289', '118', '293', '191', '303', '480', '101', '10']
['106', '329', '420', '78', '397', '14', '404', '290', '287', '50', '134', '183', '445', '92', '417', '51']
['334', '423', '300', '354', '224', '422', '105', '155', '393', '179', '416', '358', '67', '495', '248', '235']
['119', '438', '245', '342', '372', '70', '115', '276', '1', '466', '484', '451', '280', '403', '295', '283']
['77', '365', '33', '265', '82', '330', '234', '243', '337', '476', '425', '483', '277', '74', '448', '282']
['252', '83', '64', '62', '405', '192', '374', '275', '203', '139', '440', '305', '65', '55', '339', '278']
['171', '206', '356', '264', '315', '304', '19', '73', '7', '109', '34', '471', '93', '266', '147', '410']
['363', '142', '48', '406', '435', '430', '478', '205', '15', '99', '200', '91', '110', '380', '150', '489']
['42', '256', '124', '208', '58', '361', '195', '159', '88', '332', '464', '389', '411', '96', '392', '402']
['459', '317', '229', '59', '197', '327', '312', '261', '6', '129', '441', '477', '41', '424', '187', '286']
['225', '494', '81', '31', '140', '247', '100', '345', '44', '348', '184', '292', '421', '165', '112', '236']
['409', '230', '364', '352', '174', '475', '375', '120', '488', '376', '71', '181', '316', '458', '226', '117']
['384', '95', '260', '128', '148', '360', '194', '223', '76', '357', '157', '36', '167', '161', '173', '116']
['143', '8', '321', '470', '172', '240', '479', '385', '146', '86', '326', '90', '114', '291', '45', '258']
['63', '485', '180', '107', '306', '141', '450', '13', '299', '87', '408', '323', '43', '400', '433', '487']
['437', '214', '49', '431', '338', '60', '301', '219', '204', '387', '227', '199', '222', '75', '491', '156']
['220', '241', '473', '12', '436', '133', '168', '127', '391', '137', '211', '452', '319', '22', '254', '72']
['202', '368', '456', '18', '390', '4', '145', '462', '469', '344', '297', '324', '23', '162', '314', '111']
['455', '341', '177', '412', '5', '98', '333', '231', '429', '232', '379', '244', '66', '163', '38', '193']
['212', '61', '309', '21', '152', '381', '336', '27', '217', '175', '97', '460', '11', '135', '463', '343']
['426', '401', '56', '189', '457', '307', '302', '16', '386', '267', '378', '388', '79', '131', '373', '30']
['395', '251', '53', '153', '394', '103', '371', '288', '249', '335', '427', '274', '9', '164', '273', '428']
['414', '154', '39', '318', '108', '218', '259', '250', '2', '298', '169', '190', '350', '468', '25', '102']
