['408', '488', '376', '482', '481', '267', '89', '175', '345', '184', '490', '275', '338', '483', '207', '192', '111', '425', '485', '487']
['314', '18', '51', '320', '315', '369', '366', '424', '109', '226', '304', '268', '319', '203', '316', '317', '308', '362', '309', '476']
['177', '27', '132', '67', '479', '262', '168', '332', '62', '30', '305', '310', '302', '327', '335', '274', '340', '334', '357', '477']
['452', '323', '209', '235', '139', '123', '321', '178', '326', '158', '125', '220', '189', '215', '219', '204', '206', '269', '217', '212']
['475', '29', '381', '463', '53', '387', '118', '389', '394', '46', '185', '265', '395', '396', '295', '457', '384', '382', '385', '128']
['360', '170', '364', '375', '354', '174', '344', '180', '14', '343', '374', '186', '367', '330', '379', '380', '166', '179', '346', '419']
['6', '283', '449', '81', '106', '92', '498', '96', '292', '91', '201', '281', '297', '289', '282', '294', '291', '378', '105', '286']
['90', '119', '251', '82', '324', '398', '468', '441', '351', '392', '348', '445', '84', '497', '95', '252', '5', '370', '438', '59']
['75', '272', '78', '273', '494', '277', '72', '50', '279', '264', '77', '285', '280', '276', '350', '266', '74', '322', '190', '80']
['210', '22', '70', '471', '94', '31', '32', '83', '33', '97', '470', '480', '356', '486', '359', '399', '88', '34', '100', '23']
['49', '35', '417', '54', '56', '60', '418', '28', '420', '58', '47', '52', '409', '40', '407', '43', '98', '363', '39', '55']
['325', '403', '402', '211', '413', '406', '412', '405', '404', '114', '261', '414', '71', '492', '416', '401', '411', '410', '489', '218']
['169', '172', '133', '161', '48', '171', '162', '257', '455', '57', '167', '163', '76', '444', '460', '42', '446', '176', '165', '36']
['301', '38', '313', '353', '113', '13', '205', '188', '307', '2', '7', '451', '101', '8', '397', '256', '400', '298', '311', '191']
['196', '135', '347', '137', '306', '136', '187', '197', '131', '239', '181', '138', '240', '296', '228', '182', '365', '140', '193', '183']
['472', '464', '65', '474', '153', '435', '64', '63', '456', '443', '469', '86', '473', '61', '450', '148', '462', '442', '461', '85']
['144', '493', '0', '373', '495', '141', '499', '223', '426', '241', '45', '496', '358', '303', '150', '391', '361', '254', '339', '491']
['225', '431', '247', '427', '246', '237', '250', '99', '453', '242', '428', '447', '68', '342', '66', '429', '151', '440', '432', '173']
['436', '259', '156', '160', '154', '143', '454', '15', '337', '312', '79', '4', '318', '430', '368', '331', '93', '152', '157', '377']
['19', '120', '69', '448', '352', '213', '146', '466', '117', '244', '293', '465', '278', '155', '199', '329', '423', '107', '284', '108']
['198', '383', '341', '104', '44', '349', '194', '195', '16', '300', '270', '287', '288', '200', '467', '299', '41', '290', '263', '116']
['271', '112', '238', '229', '355', '386', '484', '232', '221', '110', '103', '333', '115', '102', '233', '434', '421', '236', '231', '3']
['214', '371', '202', '234', '458', '388', '224', '230', '222', '208', '145', '216', '433', '459', '372', '390', '422', '159', '227', '11']
['87', '258', '73', '255', '439', '20', '336', '328', '243', '248', '164', '260', '249', '253', '245', '393', '437', '478', '9', '12']
['24', '121', '126', '1', '124', '149', '130', '21', '37', '415', '127', '129', '26', '147', '134', '25', '10', '17', '122', '142']
