['483', '260', '276', '183', '184', '461', '68', '62', '43', '180', '102', '350', '240', '181', '280', '58', '498', '85', '441', '158', '23', '249', '440', '287', '131']
['1', '21', '41', '164', '81', '52', '169', '45', '161', '458', '338', '221', '77', '106', '387', '380', '353', '341', '399', '381', '449', '27', '17', '234', '227']
['2', '412', '334', '318', '385', '137', '122', '315', '162', '182', '250', '368', '263', '147', '194', '5', '286', '97', '218', '382', '496', '265', '408', '11', '215']
['256', '400', '13', '229', '208', '422', '211', '143', '482', '195', '150', '372', '66', '242', '343', '303', '210', '19', '363', '383', '403', '270', '284', '359', '0']
['347', '370', '44', '414', '84', '101', '417', '144', '349', '404', '465', '138', '425', '366', '452', '304', '324', '477', '386', '384', '462', '424', '295', '159', '191']
['140', '63', '212', '302', '121', '145', '125', '239', '261', '423', '247', '54', '245', '103', '285', '305', '292', '397', '365', '82', '405', '244', '73', '18', '460']
['129', '199', '228', '392', '204', '492', '126', '481', '317', '186', '116', '226', '279', '90', '160', '306', '258', '33', '60', '188', '322', '426', '446', '466', '486']
['467', '421', '378', '237', '87', '269', '105', '262', '167', '393', '301', '316', '205', '332', '478', '187', '319', '273', '309', '70', '74', '308', '238', '488', '123']
['109', '28', '390', '464', '88', '376', '457', '148', '168', '190', '223', '46', '329', '268', '288', '47', '328', '348', '433', '172', '232', '428', '448', '409', '432']
['9', '29', '307', '14', '30', '281', '65', '59', '7', '189', '209', '80', '127', '107', '491', '132', '104', '108', '369', '311', '149', '312', '455', '346', '489']
['61', '325', '76', '335', '406', '117', '427', '203', '170', '443', '323', '230', '402', '4', '352', '310', '330', '96', '499', '48', '225', '430', '450', '257', '22']
['434', '31', '222', '71', '91', '294', '413', '264', '171', '377', '487', '231', '251', '271', '291', '236', '153', '57', '371', '391', '216', '431', '49', '235', '454']
['326', '32', '79', '72', '92', '112', '367', '388', '152', '418', '37', '374', '419', '272', '375', '429', '51', '290', '340', '243', '490', '267', '136', '472', '420']
['463', '157', '56', '476', '146', '113', '133', '331', '173', '83', '213', '479', '296', '55', '293', '320', '67', '321', '407', '469', '480', '217', '484', '282', '493']
['439', '220', '119', '459', '94', '114', '259', '154', '174', '473', '214', '100', '254', '274', '115', '314', '313', '354', '35', '415', '99', '289', '327', '474', '494']
['93', '360', '177', '75', '95', '111', '135', '6', '447', '471', '163', '151', '485', '275', '444', '497', '453', '355', '142', '395', '241', '362', '86', '475', '495']
['42', '110', '69', '389', '345', '206', '165', '156', '197', '196', '139', '398', '344', '40', '253', '15', '336', '8', '198', '396', '416', '468', '456', '445', '185']
['155', '25', '10', '394', '435', '166', '200', '277', '202', '176', '193', '333', '356', '128', '297', '451', '337', '357', '141', '470', '124', '437', '98', '3', '134']
['233', '252', '300', '78', '442', '118', '358', '207', '178', '342', '36', '175', '12', '278', '298', '410', '39', '255', '130', '401', '224', '438', '20', '16', '283']
['436', '201', '192', '34', '53', '89', '373', '120', '179', '26', '219', '364', '411', '361', '299', '351', '339', '266', '379', '50', '38', '64', '248', '246', '24']
