['455', '154', '60', '82', '85', '187', '309', '396', '268', '81', '249', '220', '338', '330', '322', '408', '410', '340', '402', '380', '409', '420', '311', '55', '480']
['201', '232', '451', '290', '180', '406', '124', '368', '184', '135', '414', '5', '370', '261', '306', '126', '323', '157', '339', '494', '497', '333', '444', '461', '474']
['332', '1', '219', '486', '437', '228', '122', '142', '209', '280', '341', '383', '435', '262', '239', '98', '191', '411', '147', '215', '436', '361', '104', '448', '482']
['138', '23', '43', '9', '41', '179', '211', '143', '163', '183', '231', '263', '247', '310', '254', '303', '386', '240', '117', '314', '403', '407', '443', '277', '114']
['169', '434', '478', '186', '459', '100', '128', '289', '164', '132', '204', '10', '272', '456', '284', '304', '34', '450', '90', '8', '282', '424', '441', '464', '242']
['92', '25', '359', '259', '115', '105', '196', '197', '165', '185', '212', '225', '315', '109', '285', '2', '325', '298', '194', '31', '481', '425', '269', '52', '458']
['6', '372', '307', '66', '146', '106', '7', '75', '166', '64', '206', '274', '59', '266', '286', '101', '326', '49', '93', '260', '356', '58', '3', '466', '305']
['202', '412', '47', '40', '102', '26', '452', '16', '167', '362', '103', '227', '35', '267', '287', '288', '251', '469', '470', '170', '79', '427', '213', '395', '279']
['56', '28', '57', '431', '292', '108', '324', '148', '379', '255', '337', '352', '294', '24', '483', '308', '413', '348', '144', '237', '300', '113', '462', '457', '174']
['145', '29', '496', '69', '256', '265', '391', '107', '342', '189', '162', '349', '200', '188', '160', '367', '329', '229', '70', '499', '278', '429', '347', '433', '489']
['22', '236', '334', '415', '78', '110', '182', '150', '446', '384', '365', '230', '250', '270', '12', '88', '445', '350', '241', '328', '320', '473', '248', '36', '421']
['11', '73', '51', '221', '484', '111', '208', '151', '222', '377', '223', '485', '327', '271', '440', '428', '331', '275', '15', '129', '63', '252', '216', '471', '205']
['492', '33', '192', '72', '453', '17', '20', '152', '404', '45', '253', '234', '89', '120', '30', '312', '84', '438', '77', '392', '207', '432', '127', '354', '123']
['394', '32', '460', '13', '366', '398', '302', '346', '173', '193', '178', '233', '490', '273', '369', '313', '491', '353', '373', '217', '498', '495', '479', '430', '136']
['235', '388', '54', '74', '378', '291', '321', '125', '488', '439', '214', '418', '283', '226', '344', '423', '454', '417', '374', '21', '449', '155', '50', '363', '381']
['371', '493', '397', '442', '293', '419', '264', '161', '0', '195', '382', '14', '97', '351', '99', '245', '244', '355', '389', '477', '46', '38', '175', '475', '364']
['53', '121', '190', '76', '96', '116', '447', '156', '176', '68', '83', '4', '210', '276', '296', '316', '158', '281', '62', '37', '416', '86', '141', '476', '375']
['401', '140', '393', '149', '168', '390', '137', '301', '177', '42', '18', '48', '257', '463', '297', '317', '422', '357', '130', '199', '472', '67', '468', '467', '112']
['91', '360', '426', '343', '133', '118', '387', '336', '224', '198', '218', '385', '258', '400', '345', '318', '131', '358', '94', '335', '95', '27', '203', '238', '181']
['19', '39', '246', '171', '295', '44', '139', '159', '465', '134', '61', '172', '65', '487', '299', '319', '80', '87', '243', '399', '376', '119', '405', '71', '153']
