['0', '25', '50', '75', '100', '186', '346', '175', '18', '225', '430', '275', '473', '11', '53', '230', '378', '425', '450', '475']
['292', '253', '252', '48', '101', '171', '125', '176', '217', '26', '1', '31', '263', '357', '411', '205', '487', '56', '235', '400']
['349', '157', '470', '453', '229', '351', '152', '24', '126', '271', '456', '20', '334', '484', '115', '280', '402', '136', '360', '331']
['345', '28', '350', '455', '325', '128', '153', '421', '203', '212', '226', '278', '303', '246', '353', '367', '371', '103', '150', '478']
['4', '29', '61', '79', '104', '321', '190', '163', '466', '401', '254', '279', '489', '67', '42', '379', '404', '429', '419', '426']
['5', '261', '55', '435', '105', '96', '232', '180', '493', '318', '255', '236', '305', '327', '355', '457', '405', '80', '438', '477']
['6', '47', '77', '12', '106', '439', '328', '343', '337', '451', '256', '468', '422', '497', '356', '381', '406', '431', '354', '398']
['7', '90', '102', '82', '417', '132', '27', '399', '85', '155', '291', '142', '307', '463', '330', '382', '407', '432', '380', '117']
['92', '112', '58', '89', '108', '372', '158', '496', '285', '332', '258', '64', '195', '387', '358', '39', '137', '57', '234', '483']
['9', '289', '340', '84', '464', '446', '159', '172', '209', '86', '259', '284', '309', '302', '359', '135', '222', '434', '414', '412']
['10', '35', '88', '207', '145', '167', '160', '185', '231', '250', '173', '208', '310', '498', '452', '385', '63', '416', '460', '111']
['192', '36', '54', '458', '440', '266', '181', '151', '211', '409', '99', '286', '262', '336', '361', '386', '124', '51', '23', '486']
['81', '213', '62', '87', '60', '93', '162', '428', '228', '237', '311', '287', '312', '397', '149', '308', '326', '169', '147', '83']
['13', '38', '30', '420', '113', '138', '369', '490', '44', '333', '301', '442', '313', '3', '476', '134', '257', '436', '233', '488']
['118', '433', '377', '282', '127', '139', '164', '189', '274', '239', '264', '34', '37', '133', '161', '389', '459', '373', '109', '304']
['15', '40', '395', '32', '462', '140', '165', '154', '215', '240', '265', '290', '98', '59', '365', '8', '415', '187', '465', '194']
['16', '122', '66', '91', '116', '14', '166', '191', '216', '241', '427', '413', '316', '471', '366', '391', '383', '441', '204', '324']
['95', '76', '276', '390', '374', '437', '293', '269', '388', '242', '267', '251', '317', '342', '210', '392', '78', '288', '467', '492']
['472', '43', '68', '408', '363', '143', '469', '193', '218', '243', '19', '384', '375', '21', '368', '393', '418', '443', '461', '376']
['206', '481', '69', '94', '480', '41', '298', '188', '219', '244', '107', '294', '319', '344', '179', '338', '454', '238', '168', '494']
['223', '45', '70', '17', '120', '110', '248', '444', '220', '245', '270', '119', '320', '72', '370', '296', '65', '445', '52', '495']
['200', '46', '71', '227', '121', '146', '141', '196', '221', '156', '130', '485', '129', '33', '2', '396', '178', '201', '341', '322']
['22', '329', '394', '352', '144', '148', '348', '197', '364', '247', '272', '297', '183', '347', '339', '268', '306', '447', '410', '295']
['123', '479', '403', '315', '281', '97', '260', '198', '491', '362', '273', '202', '323', '114', '283', '314', '423', '448', '300', '335']
['177', '49', '74', '131', '184', '170', '174', '199', '224', '249', '214', '299', '277', '73', '482', '182', '424', '449', '474', '499']
