['0', '291', '204', '75', '169', '125', '150', '175', '366', '80', '165', '451', '300', '72', '350', '85', '400', '308', '450', '468']
['1', '130', '51', '76', '101', '126', '35', '176', '475', '226', '490', '100', '301', '143', '382', '376', '386', '495', '275', '280']
['353', '483', '193', '253', '282', '28', '135', '115', '112', '227', '68', '328', '370', '327', '352', '256', '416', '272', '162', '477']
['320', '220', '437', '78', '152', '418', '102', '269', '89', '228', '77', '191', '303', '284', '237', '223', '403', '59', '453', '96']
['492', '29', '54', '214', '104', '443', '343', '337', '50', '433', '117', '296', '430', '25', '434', '16', '276', '429', '145', '479']
['396', '30', '317', '242', '241', '251', '155', '180', '91', '306', '255', '422', '305', '61', '225', '18', '405', '304', '455', '189']
['319', '417', '56', '81', '106', '249', '69', '181', '332', '231', '377', '482', '132', '331', '356', '307', '406', '431', '456', '481']
['7', '167', '461', '82', '107', '322', '318', '182', '323', '360', '257', '207', '302', '206', '399', '164', '266', '432', '71', '281']
['8', '486', '435', '83', '12', '385', '158', '183', '208', '229', '168', '351', '411', '410', '358', '465', '221', '166', '458', '27']
['19', '34', '32', '113', '274', '11', '159', '184', '267', '234', '426', '452', '309', '233', '240', '384', '409', '354', '470', '460']
['10', '146', '273', '375', '63', '378', '119', '262', '446', '494', '392', '285', '310', '335', '326', '372', '339', '345', '390', '485']
['134', '36', '330', '92', '474', '368', '161', '186', '211', '387', '121', '286', '235', '45', '224', '278', '254', '436', '277', '222']
['67', '201', '62', '4', '478', '199', '86', '187', '212', '22', '42', '287', '312', '179', '362', '236', '472', '388', '457', '487']
['13', '38', '349', '88', '40', '138', '163', '188', '213', '238', '263', '288', '313', '338', '363', '297', '413', '438', '463', '336']
['17', '39', '171', '203', '114', '93', '137', '379', '314', '239', '264', '110', '230', '357', '218', '389', '441', '48', '464', '489']
['15', '466', '14', '49', '401', '140', '250', '421', '215', '299', '265', '290', '149', '340', '365', '195', '311', '440', '383', '473']
['136', '373', '210', '108', '116', '232', '90', '122', '498', '109', '321', '289', '316', '341', '200', '6', '402', '414', '26', '325']
['65', '185', '252', '420', '260', '397', '346', '448', '380', '424', '209', '292', '141', '298', '367', '462', '31', '442', '415', '74']
['217', '43', '205', '139', '118', '133', '177', '9', '364', '243', '268', '202', '480', '154', '170', '393', '128', '129', '37', '493']
['361', '57', '156', '94', '160', '144', '52', '157', '219', '244', '355', '64', '391', '395', '369', '394', '419', '444', '469', '5']
['20', '488', '70', '98', '120', '467', '178', '484', '127', '445', '270', '324', '3', '58', '105', '344', '412', '454', '459', '259']
['423', '46', '425', '293', '261', '151', '245', '196', '333', '246', '271', '279', '334', '428', '371', '41', '190', '47', '79', '496']
['2', '66', '97', '491', '258', '147', '172', '197', '33', '247', '427', '53', '348', '347', '471', '142', '476', '103', '44', '24']
['23', '408', '73', '153', '123', '148', '173', '198', '447', '248', '60', '359', '192', '55', '329', '398', '21', '95', '194', '407']
['497', '216', '87', '99', '124', '315', '174', '283', '404', '131', '381', '342', '295', '294', '374', '439', '84', '449', '111', '499']
