['322', '4', '30', '115', '50', '6', '348', '19', '37', '123', '272', '319', '81', '303', '111', '130', '320', '21', '212', '343']
['266', '20', '234', '90', '94', '370', '196', '245', '22', '72', '341', '339', '388', '82', '340', '26', '382', '49', '396', '309']
['104', '292', '154', '38', '10', '273', '327', '231', '34', '331', '191', '70', '151', '172', '262', '275', '126', '39', '78', '289']
['352', '295', '160', '179', '364', '375', '264', '28', '311', '314', '386', '221', '147', '31', '333', '359', '351', '43', '174', '76']
['284', '3', '84', '59', '171', '150', '329', '347', '27', '270', '323', '220', '399', '294', '373', '316', '60', '354', '277', '176']
['164', '308', '332', '169', '85', '209', '193', '384', '185', '243', '337', '110', '122', '315', '195', '358', '142', '394', '198', '334']
['268', '48', '149', '135', '80', '32', '148', '53', '88', '304', '92', '23', '175', '197', '132', '18', '128', '236', '47', '161']
['107', '16', '63', '67', '350', '143', '54', '357', '40', '125', '377', '145', '62', '259', '349', '106', '230', '83', '362', '283']
['252', '229', '307', '228', '380', '75', '74', '368', '162', '101', '246', '204', '279', '250', '0', '261', '271', '218', '363', '297']
['1', '44', '345', '224', '194', '210', '249', '112', '127', '285', '240', '383', '173', '15', '381', '61', '189', '312', '102', '296']
['321', '103', '355', '223', '344', '226', '116', '208', '68', '276', '186', '177', '248', '117', '64', '390', '317', '239', '398', '215']
['100', '374', '113', '79', '293', '395', '153', '214', '299', '232', '244', '36', '166', '183', '7', '187', '96', '98', '233', '205']
['66', '290', '301', '41', '99', '91', '95', '369', '306', '387', '139', '152', '219', '330', '360', '57', '302', '5', '251', '336']
['35', '42', '105', '65', '310', '9', '138', '136', '188', '181', '274', '256', '391', '237', '73', '86', '12', '326', '305', '342']
['46', '378', '280', '69', '120', '257', '253', '182', '241', '119', '89', '282', '33', '267', '313', '379', '300', '52', '165', '97']
['2', '213', '170', '56', '51', '124', '216', '71', '286', '192', '167', '225', '206', '121', '365', '146', '392', '14', '201', '371']
['202', '258', '335', '288', '144', '207', '269', '361', '263', '291', '376', '45', '318', '397', '298', '25', '281', '29', '11', '87']
['17', '367', '203', '93', '260', '338', '393', '235', '58', '118', '168', '353', '131', '325', '184', '328', '372', '137', '254', '366']
['134', '178', '163', '242', '255', '346', '129', '114', '238', '156', '180', '227', '385', '356', '190', '324', '158', '265', '13', '55']
['278', '222', '140', '157', '77', '211', '287', '200', '109', '155', '217', '141', '8', '159', '199', '24', '108', '389', '133', '247']
