['280', '264', '271', '265', '275', '290', '267', '282', '273', '266', '255', '252', '256', '283', '270', '254', '286', '253', '260', '288', '292', '298', '268', '284', '281']
['70', '186', '196', '187', '192', '105', '164', '161', '153', '166', '173', '156', '177', '157', '170', '181', '185', '158', '199', '16', '176', '167', '172', '190', '163']
['94', '57', '81', '78', '50', '62', '89', '90', '54', '86', '55', '88', '85', '77', '82', '99', '74', '97', '73', '92', '60', '79', '91', '83', '68']
['18', '33', '43', '32', '30', '36', '35', '47', '10', '24', '38', '37', '45', '26', '49', '39', '44', '21', '9', '14', '46', '40', '6', '3', '291']
['112', '31', '64', '59', '1', '66', '95', '75', '61', '65', '23', '146', '53', '71', '299', '34', '58', '84', '122', '179', '12', '140', '72', '51', '56']
['297', '117', '125', '119', '100', '142', '103', '250', '118', '113', '80', '129', '108', '136', '294', '147', '93', '130', '111', '98', '262', '115', '269', '258', '293']
['235', '237', '230', '219', '215', '228', '233', '214', '229', '216', '236', '244', '200', '243', '204', '238', '220', '210', '222', '231', '226', '205', '245', '211', '221']
['278', '295', '274', '277', '259', '246', '263', '287', '242', '137', '96', '143', '272', '276', '121', '257', '25', '213', '174', '102', '279', '296', '285', '201', '189']
['41', '20', '28', '29', '69', '48', '17', '13', '2', '249', '239', '22', '261', '67', '27', '7', '15', '42', '19', '11', '5', '8', '207', '4', '0']
['198', '175', '169', '182', '150', '171', '155', '194', '159', '178', '162', '151', '188', '165', '183', '195', '133', '152', '180', '193', '191', '184', '168', '154', '160']
['227', '52', '225', '203', '289', '209', '206', '217', '234', '202', '212', '197', '223', '232', '224', '87', '251', '240', '218', '247', '76', '241', '208', '248', '127']
['63', '148', '101', '138', '145', '106', '114', '128', '141', '134', '131', '104', '120', '132', '109', '116', '124', '144', '135', '123', '107', '126', '139', '149', '110']
