['139', '95', '79', '54', '125', '192', '247', '149', '200', '225']
['103', '126', '110', '199', '134', '143', '162', '216', '230', '114']
['2', '80', '45', '166', '59', '94', '84', '146', '207', '27']
['40', '233', '41', '133', '16', '128', '124', '85', '219', '159']
['147', '49', '234', '50', '46', '129', '115', '223', '204', '153']
['104', '178', '62', '37', '93', '108', '51', '173', '221', '158']
['210', '31', '69', '17', '113', '38', '99', '181', '165', '101']
['137', '28', '222', '161', '186', '92', '157', '65', '96', '44']
['8', '52', '10', '184', '109', '197', '190', '176', '26', '242']
['60', '7', '66', '111', '135', '68', '98', '201', '209', '237']
['170', '193', '87', '220', '244', '202', '189', '185', '195', '118']
['105', '163', '218', '232', '229', '154', '14', '3', '36', '231']
['122', '30', '188', '121', '112', '246', '119', '156', '47', '107']
['0', '82', '86', '127', '224', '20', '245', '177', '226', '78']
['83', '25', '6', '171', '191', '57', '18', '243', '64', '34']
['205', '169', '48', '90', '179', '100', '236', '55', '239', '73']
['235', '29', '33', '212', '116', '141', '117', '72', '213', '241']
['164', '138', '183', '39', '11', '249', '167', '76', '131', '215']
['88', '9', '4', '211', '208', '75', '168', '182', '248', '35']
['175', '144', '97', '227', '206', '130', '67', '151', '22', '240']
['24', '58', '180', '13', '42', '70', '132', '43', '89', '5']
['150', '123', '71', '140', '74', '102', '238', '196', '63', '61']
['53', '21', '142', '23', '77', '1', '172', '19', '56', '15']
['152', '160', '106', '203', '91', '120', '214', '198', '32', '217']
['136', '187', '148', '81', '145', '194', '174', '155', '228', '12']
