['101', '8', '184', '14', '406']
['241', '154', '289', '31', '426']
['340', '396', '305', '383', '99']
['384', '104', '306', '204', '214']
['354', '226', '172', '492', '485']
['471', '207', '76', '148', '51']
['107', '309', '53', '244', '129']
['7', '398', '215', '262', '174']
['52', '294', '390', '310', '73']
['249', '110', '211', '312', '145']
['361', '336', '32', '203', '111']
['250', '267', '213', '18', '62']
['163', '186', '416', '494', '158']
['499', '114', '44', '316', '360']
['473', '302', '493', '378', '467']
['20', '389', '374', '168', '418']
['97', '218', '319', '420', '42']
['444', '156', '421', '253', '19']
['119', '220', '439', '422', '452']
['480', '221', '48', '382', '146']
['442', '60', '222', '424', '199']
['436', '66', '223', '324', '10']
['231', '325', '152', '28', '478']
['124', '225', '120', '93', '417']
['164', '408', '315', '433', '412']
['393', '22', '50', '242', '429']
['26', '423', '181', '489', '377']
['212', '155', '277', '330', '196']
['283', '497', '314', '290', '301']
['29', '483', '410', '335', '258']
['131', '232', '43', '394', '202']
['435', '57', '234', '453', '143']
['72', '475', '284', '371', '339']
['33', '134', '333', '498', '125']
['236', '438', '49', '139', '415']
['479', '141', '160', '6', '469']
['477', '445', '238', '303', '476']
['183', '313', '2', '441', '322']
['38', '240', '182', '188', '85']
['39', '56', '337', '78', '443']
['105', '157', '248', '343', '11']
['74', '142', '342', '344', '193']
['323', '318', '368', '404', '280']
['458', '233', '447', '30', '23']
['144', '386', '265', '135', '189']
['0', '208', '348', '449']
['65', '96', '381', '362']
['264', '409', '311', '147', '83']
['108', '149', '118', '1', '179']
['150', '437', '352', '126', '268']
['185', '351', '353', '385', '350']
['299', '63', '261', '282', '430']
['370', '153', '496', '456', '35']
['331', '484', '457', '345', '229']
['209', '256', '75', '414', '279']
['275', '16', '159', '459', '237']
['228', '24', '446', '367', '307']
['273', '259', '373', '461', '391']
['58', '428', '379', '285', '488']
['251', '455', '191', '130', '243']
['121', '161', '363', '77', '27']
['162', '180', '369', '359', '55']
['12', '151', '102', '190', '472']
['100', '41', '387', '464', '372']
['481', '266', '468', '89', '201']
['46', '270', '198', '132', '54']
['122', '470', '194', '116', '216']
['67', '269', '34', '328', '219']
['112', '84', '210', '69', '434']
['170', '103', '260', '115', '451']
['127', '272', '278', '474', '495']
['71', '407', '448', '295']
['296', '173', '274', '432', '298']
['80', '40', '133', '281', '94']
['175', '276', '36', '123', '403']
['176', '257', '460', '482', '349']
['308', '167', '356', '21', '117']
['200', '178', '490', '165', '166']
['341', '206', '255', '463', '365']
['364', '47', '98', '59', '321']
['64', '140', '15', '227', '355']
['427', '338', '230', '380', '271']
['425', '326', '454', '486', '252']
['128', '292', '487', '81', '366']
['450', '3', '286', '82', '375']
['25', '4', '247', '388', '401']
['86', '254', '419', '195', '70']
['87', '13', '263', '90', '462']
['88', '392', '491', '137', '61']
['169', '291', '376', '440', '197']
['413', '106', '347', '466', '405']
['91', '192', '300', '68', '327']
['246', '465', '329', '334', '217']
['17', '5', '45', '177', '411']
['235', '346', '431', '397', '357']
['95', '297', '92', '245', '288']
['358', '171', '9', '399', '332']
['187', '400', '224', '79', '239']
['205', '293', '287', '320', '138']
['136', '402', '395', '37', '304']
['113', '317', '109']
