['38', '275', '288', '335', '341', '362', '313', '314', '18', '388', '268', '394', '7', '331', '21', '195', '286', '1', '240', '4']
['328', '339', '14', '367', '199', '255', '25', '27', '161', '260', '175', '373', '202', '261', '239', '198', '180', '210', '99', '259']
['374', '36', '39', '359', '365', '372', '281', '227', '283', '34', '375', '385', '257', '22', '12', '29', '273', '342', '33', '353']
['312', '70', '35', '47', '213', '23', '254', '336', '253', '183', '58', '369', '67', '266', '42', '51', '330', '31', '363', '383']
['177', '146', '208', '64', '189', '137', '343', '144', '164', '184', '204', '145', '218', '264', '397', '292', '190', '325', '185', '193']
['138', '171', '294', '243', '346', '105', '129', '61', '44', '303', '305', '41', '295', '123', '54', '40', '131', '110', '104', '309']
['6', '274', '277', '298', '270', '382', '11', '356', '347', '9', '279', '267', '133', '284', '246', '391', '380', '3', '389', '308']
['361', '396', '57', '318', '87', '49', '245', '50', '368', '30', '63', '263', '232', '285', '320', '62', '53', '55', '354', '252']
['290', '338', '322', '289', '386', '280', '357', '0', '262', '360', '251', '345', '5', '376', '8', '379', '291', '271', '324', '377']
['304', '95', '327', '106', '220', '141', '125', '244', '98', '115', '216', '147', '181', '191', '148', '381', '329', '150', '134', '60']
['392', '32', '108', '395', '109', '120', '119', '296', '79', '390', '26', '10', '122', '299', '307', '310', '340', '113', '2', '116']
['94', '160', '169', '114', '86', '168', '163', '151', '140', '201', '366', '364', '358', '206', '174', '165', '350', '297', '167', '135']
['84', '219', '52', '231', '228', '300', '215', '152', '242', '178', '214', '225', '250', '272', '334', '399', '200', '229', '188', '230']
['221', '81', '76', '276', '332', '88', '77', '306', '323', '80', '337', '92', '37', '211', '93', '68', '333', '103', '45', '73']
['170', '100', '112', '74', '212', '91', '236', '156', '293', '398', '111', '96', '46', '187', '269', '248', '117', '194', '28', '118']
['301', '344', '166', '85', '142', '59', '20', '83', '153', '349', '182', '247', '155', '65', '158', '315', '159', '355', '149', '90']
['217', '205', '278', '82', '370', '43', '234', '154', '186', '196', '97', '192', '207', '311', '143', '316', '321', '224', '15', '107']
['17', '319', '102', '121', '124', '72', '78', '132', '128', '282', '126', '89', '393', '351', '241', '101', '139', '387', '127', '265']
['16', '235', '233', '371', '222', '249', '157', '19', '176', '209', '226', '238', '258', '223', '197', '256', '237', '384', '378', '13']
['173', '48', '203', '172', '130', '69', '287', '75', '179', '56', '317', '352', '71', '348', '302', '136', '162', '326', '24', '66']
