['0', '362', '308', '366', '355', '24', '316', '325', '33', '360']
['71', '236', '68', '296', '66', '278', '322', '320', '321', '69']
['104', '75', '275', '277', '269', '38', '242', '272', '119', '109']
['276', '267', '317', '7', '42', '300', '265', '59', '323', '354']
['281', '359', '391', '357', '8', '9', '20', '369', '324', '342']
['62', '268', '85', '125', '255', '121', '245', '264', '126', '131']
['240', '26', '123', '274', '259', '5', '356', '370', '326', '256']
['348', '47', '247', '292', '28', '23', '347', '4', '327', '202']
['43', '48', '346', '290', '22', '16', '331', '312', '328', '336']
['333', '49', '305', '39', '36', '319', '343', '349', '291', '45']
['225', '158', '90', '130', '170', '210', '137', '120', '157', '238']
['286', '283', '288', '17', '105', '266', '37', '280', '289', '34']
['243', '138', '92', '132', '67', '134', '252', '251', '254', '63']
['141', '184', '152', '174', '173', '213', '151', '160', '150', '205']
['103', '101', '94', '140', '241', '214', '115', '139', '235', '250']
['340', '53', '345', '284', '293', '298', '25', '295', '279', '52']
['364', '387', '13', '351', '365', '15', '375', '335', '368', '390']
['395', '382', '389', '339', '314', '2', '11', '374', '337', '377']
['18', '379', '386', '6', '372', '19', '381', '352', '338', '394']
['61', '262', '88', '116', '135', '128', '110', '237', '215', '84']
['371', '388', '358', '376', '12', '309', '282', '3', '392', '380']
['93', '77', '285', '44', '208', '263', '223', '54', '31', '302']
['221', '231', '155', '136', '399', '81', '111', '165', '230', '57']
['227', '167', '171', '143', '183', '216', '41', '133', '148', '162']
['40', '228', '72', '144', '164', '124', '211', '113', '218', '181']
['166', '341', '232', '209', '185', '161', '153', '14', '159', '385']
['248', '234', '106', '146', '229', '226', '145', '112', '129', '127']
['27', '353', '329', '350', '32', '29', '344', '361', '367', '363']
['313', '82', '311', '249', '244', '46', '307', '297', '56', '50']
['204', '206', '187', '149', '189', '186', '193', '191', '118', '169']
['86', '70', '80', '287', '76', '51', '270', '310', '303', '306']
['334', '1', '315', '330', '332', '397', '60', '261', '304', '58']
['393', '396', '318', '373', '378', '384', '21', '398', '10', '383']
['258', '73', '65', '107', '253', '233', '273', '89', '83', '100']
['178', '199', '163', '196', '194', '198', '197', '177', '200', '172']
['188', '114', '108', '207', '176', '55', '195', '95', '190', '201']
['219', '74', '220', '156', '154', '175', '91', '224', '147', '168']
['192', '102', '117', '212', '182', '203', '122', '142', '179', '180']
['294', '78', '30', '217', '64', '257', '301', '97', '35', '260']
['99', '79', '299', '271', '222', '239', '98', '246', '87', '96']
