['57', '345', '254', '457', '55', '459', '472', '324', '400', '450']
['407', '21', '36', '229', '226', '452', '18', '27', '23', '224']
['294', '225', '255', '72', '221', '252', '300', '228', '253', '220']
['158', '259', '156', '153', '376', '150', '303', '297', '151', '370']
['295', '296', '377', '281', '375', '371', '379', '381', '374', '94']
['19', '12', '393', '482', '197', '13', '58', '139', '17', '14']
['45', '56', '209', '205', '206', '410', '2', '247', '68', '464']
['7', '204', '8', '4', '207', '16', '203', '155', '1', '0']
['424', '93', '146', '418', '208', '423', '304', '470', '3', '6']
['52', '59', '109', '50', '106', '359', '309', '53', '100', '103']
['69', '60', '318', '319', '175', '317', '310', '99', '62', '288']
['249', '31', '242', '30', '211', '39', '37', '430', '38', '34']
['63', '327', '250', '74', '325', '257', '79', '362', '172', '328']
['378', '122', '436', '233', '350', '121', '322', '128', '477', '463']
['455', '169', '114', '164', '117', '168', '314', '162', '166', '161']
['262', '268', '138', '269', '263', '265', '315', '261', '313', '33']
['415', '364', '468', '414', '465', '266', '469', '366', '416', '466']
['73', '219', '214', '212', '217', '210', '216', '357', '215', '70']
['321', '316', '392', '66', '163', '311', '67', '438', '312', '127']
['113', '189', '119', '118', '110', '111', '98', '187', '145', '183']
['20', '467', '120', '402', '496', '404', '29', '453', '461', '401']
['51', '184', '185', '329', '475', '479', '323', '420', '320', '471']
['283', '282', '284', '302', '235', '170', '307', '286', '287', '181']
['231', '54', '129', '10', '223', '432', '124', '15', '462', '137']
['24', '417', '9', '22', '406', '419', '409', '405', '480', '101']
['201', '421', '264', '267', '427', '258', '260', '408', '425', '202']
['26', '46', '274', '192', '25', '276', '28', '275', '196', '47']
['273', '272', '165', '256', '270', '277', '442', '289', '301', '278']
['91', '78', '90', '77', '96', '92', '95', '97', '308', '76']
['116', '104', '108', '179', '460', '279', '171', '369', '178', '105']
['341', '80', '130', '135', '133', '136', '411', '412', '361', '131']
['61', '81', '86', '65', '88', '64', '89', '387', '499', '481']
['32', '125', '132', '344', '473', '152', '440', '157', '474', '177']
['167', '365', '403', '368', '218', '492', '333', '238', '363', '360']
['147', '373', '134', '188', '126', '180', '141', '435', '298', '290']
['382', '85', '82', '234', '380', '285', '115', '385', '83', '388']
['237', '239', '280', '102', '236', '372', '487', '230', '143', '486']
['173', '87', '232', '434', '75', '176', '84', '451', '437', '384']
['330', '386', '335', '413', '331', '391', '338', '485', '336', '488']
['483', '383', '398', '40', '35', '337', '339', '394', '11', '399']
['326', '497', '160', '251', '140', '495', '248', '347', '332', '334']
['299', '213', '490', '191', '241', '291', '389', '367', '107', '491']
['426', '428', '44', '422', '305', '292', '449', '174', '429', '293']
['43', '227', '222', '193', '271', '190', '343', '42', '198', '199']
['142', '186', '144', '194', '498', '493', '182', '476', '478', '494']
['306', '456', '154', '447', '458', '112', '159', '395', '200', '454']
['240', '245', '244', '444', '246', '484', '489', '396', '446', '243']
['358', '354', '352', '356', '351', '353', '390', '397', '355', '41']
['48', '123', '148', '443', '445', '5', '71', '49', '448', '441']
['195', '340', '348', '149', '439', '433', '349', '346', '342', '431']
