['172', '143', '223', '58', '211', '19', '300', '169', '400', '429']
['317', '420', '101', '43', '185', '251', '274', '159', '456', '392']
['2', '417', '102', '20', '202', '78', '312', '352', '402', '452']
['385', '283', '443', '189', '220', '194', '176', '67', '403', '383']
['4', '54', '425', '377', '17', '386', '304', '249', '341', '454']
['5', '351', '81', '155', '245', '255', '390', '371', '405', '208']
['6', '129', '91', '321', '71', '1', '14', '406', '356', '295']
['7', '408', '77', '253', '491', '3', '451', '357', '407', '45']
['8', '460', '226', '448', '455', '387', '308', '267', '482', '413']
['9', '59', '481', '152', '209', '306', '293', '355', '409', '173']
['150', '419', '486', '109', '117', '260', '178', '224', '92', '264']
['276', '337', '111', '441', '182', '204', '311', '50', '411', '10']
['254', '243', '126', '331', '280', '141', '424', '281', '412', '232']
['12', '83', '113', '316', '213', '263', '313', '488', '157', '462']
['207', '64', '369', '192', '11', '288', '479', '376', '414', '464']
['112', '354', '115', '165', '335', '265', '34', '365', '415', '430']
['437', '450', '404', '166', '216', '397', '76', '82', '416', '181']
['42', '179', '273', '198', '217', '329', '389', '367', '60', '495']
['302', '465', '289', '128', '218', '268', '250', '210', '380', '445']
['242', '69', '119', '80', '219', '161', '363', '368', '297', '469']
['47', '231', '125', '170', '203', '228', '193', '197', '348', '490']
['89', '432', '121', '171', '221', '271', '156', '359', '497', '471']
['22', '493', '122', '25', '222', '309', '322', '230', '259', '105']
['23', '73', '123', '162', '190', '458', '401', '373', '423', '332']
['97', '307', '124', '174', '360', '353', '324', '374', '18', '474']
['227', '75', '120', '175', '225', '13', '494', '340', '381', '475']
['315', '163', '15', '41', '473', '214', '326', '61', '426', '35']
['27', '107', '127', '74', '100', '277', '327', '290', '62', '477']
['466', '177', '334', '310', '270', '278', '328', '378', '428', '239']
['29', '79', '154', '66', '229', '279', '358', '379', '272', '382']
['108', '457', '130', '237', '266', '212', '330', '418', '153', '480']
['30', '410', '291', '299', '339', '362', '63', '269', '200', '160']
['138', '435', '292', '236', '463', '282', '28', '476', '323', '26']
['132', '21', '133', '183', '233', '318', '333', '453', '433', '191']
['314', '442', '134', '70', '498', '103', '114', '136', '325', '484']
['256', '85', '346', '158', '55', '285', '472', '257', '366', '485']
['36', '37', '384', '186', '468', '65', '361', '275', '440', '16']
['56', '87', '51', '187', '444', '375', '180', '142', '235', '305']
['184', '88', '24', '104', '238', '262', '338', '106', '370', '319']
['39', '49', '139', '438', '478', '343', '38', '57', '44', '489']
['135', '90', '467', '116', '240', '110', '496', '487', '206', '470']
['148', '0', '86', '84', '96', '131', '303', '391', '188', '301']
['284', '446', '364', '431', '53', '33', '342', '215', '388', '118']
['151', '93', '336', '320', '350', '32', '261', '393', '492', '347']
['439', '167', '144', '168', '244', '145', '344', '394', '434', '252']
['140', '241', '294', '195', '421', '436', '345', '395', '95', '48']
['46', '483', '296', '196', '246', '258', '40', '396', '146', '287']
['422', '164', '147', '68', '247', '52', '459', '372', '447', '205']
['427', '98', '31', '94', '248', '298', '99', '398', '201', '234']
['72', '137', '149', '199', '286', '449', '349', '399', '461', '499']
