['179', '312', '377', '306', '225', '257', '50', '330', '467', '389']
['242', '86', '94', '343', '132', '453', '205', '207', '97', '160']
['88', '1', '18', '195', '7', '197', '128', '341', '114', '386']
['0', '276', '180', '332', '356', '364', '387', '194', '440', '228']
['123', '40', '310', '451', '255', '455', '324', '185', '154', '251']
['326', '5', '322', '61', '437', '492', '442', '104', '409', '83']
['248', '416', '270', '36', '121', '479', '396', '344', '281', '91']
['74', '335', '224', '487', '321', '182', '413', '261', '295', '105']
['57', '404', '346', '471', '449', '59', '382', '222', '218', '246']
['392', '184', '460', '286', '141', '402', '385', '379', '155', '166']
['211', '231', '358', '378', '54', '285', '19', '69', '93', '136']
['354', '331', '139', '317', '233', '347', '470', '252', '262', '125']
['243', '290', '55', '482', '369', '495', '51', '92', '423', '280']
['129', '200', '126', '4', '144', '48', '165', '395', '110', '47']
['158', '35', '426', '15', '174', '131', '463', '202', '9', '181']
['148', '365', '375', '328', '111', '227', '240', '267', '266', '137']
['436', '145', '258', '289', '277', '82', '439', '161', '214', '63']
['362', '319', '170', '342', '357', '203', '33', '64', '193', '288']
['215', '447', '421', '209', '187', '208', '432', '146', '119', '458']
['30', '493', '28', '472', '58', '186', '133', '108', '75', '70']
['188', '163', '488', '279', '116', '498', '452', '361', '271', '353']
['138', '268', '381', '117', '49', '27', '96', '406', '38', '149']
['497', '422', '153', '81', '417', '429', '475', '403', '219', '300']
['418', '171', '199', '65', '468', '43', '491', '483', '244', '99']
['32', '24', '237', '198', '370', '283', '71', '278', '221', '499']
['296', '372', '156', '115', '314', '130', '352', '274', '239', '351']
['151', '399', '420', '238', '142', '226', '457', '2', '410', '46']
['263', '438', '264', '275', '334', '143', '107', '259', '465', '157']
['474', '345', '293', '52', '291', '298', '213', '23', '37', '401']
['102', '415', '414', '162', '250', '245', '77', '206', '348', '489']
['53', '374', '444', '210', '45', '434', '394', '201', '466', '159']
['112', '217', '287', '273', '284', '481', '134', '303', '469', '17']
['90', '315', '484', '428', '391', '337', '140', '486', '101', '196']
['78', '72', '304', '106', '359', '318', '120', '327', '8', '323']
['41', '68', '236', '234', '67', '477', '11', '407', '109', '313']
['329', '294', '368', '175', '247', '461', '85', '269', '408', '496']
['371', '84', '450', '178', '272', '173', '299', '490', '34', '21']
['400', '124', '177', '307', '253', '39', '301', '419', '390', '494']
['241', '10', '87', '411', '360', '152', '232', '100', '89', '22']
['325', '254', '393', '397', '349', '320', '355', '20', '292', '446']
['164', '456', '388', '80', '103', '309', '478', '340', '339', '26']
['191', '427', '127', '147', '473', '431', '480', '311', '216', '485']
['42', '412', '13', '433', '135', '60', '338', '6', '122', '169']
['459', '183', '376', '176', '16', '350', '282', '167', '398', '435']
['316', '256', '66', '425', '441', '373', '98', '380', '265', '44']
['172', '14', '62', '366', '79', '448', '220', '260', '464', '31']
['476', '454', '302', '383', '249', '212', '305', '76', '192', '405']
['190', '56', '95', '443', '3', '150', '229', '424', '235', '168']
['363', '25', '308', '462', '29', '297', '336', '118', '223', '230']
['430', '204', '73', '189', '445', '367', '113', '333', '384', '12']
