['81', '302', '51', '140', '64', '18', '250', '231', '31', '144', '91', '359', '113', '10', '351', '390', '230', '65', '193', '102', '320', '5', '352', '346', '384']
['160', '85', '129', '288', '36', '187', '183', '21', '249', '180', '8', '242', '354', '278', '225', '70', '244', '273', '358', '380', '321', '111', '311', '112', '271']
['79', '234', '243', '59', '66', '92', '98', '78', '130', '72', '241', '167', '392', '315', '264', '88', '17', '395', '307', '306', '232', '338', '393', '261', '105']
['157', '166', '124', '386', '165', '101', '348', '109', '248', '45', '4', '361', '158', '330', '227', '399', '344', '275', '291', '342', '289', '339', '355', '108', '334']
['388', '20', '188', '71', '44', '93', '100', '146', '233', '155', '297', '282', '196', '148', '137', '317', '336', '118', '292', '9', '186', '127', '26', '95', '368']
['77', '174', '176', '24', '69', '258', '83', '335', '184', '39', '200', '53', '7', '265', '60', '283', '370', '377', '110', '305', '103', '341', '357', '277', '29']
['262', '22', '117', '54', '286', '86', '97', '89', '149', '387', '228', '182', '198', '353', '12', '246', '6', '90', '294', '35', '323', '119', '13', '256', '240']
['326', '23', '134', '177', '116', '87', '260', '84', '135', '360', '178', '142', '345', '215', '222', '19', '263', '279', '153', '214', '367', '125', '210', '375', '170']
['364', '139', '40', '197', '189', '74', '195', '120', '397', '251', '268', '362', '49', '41', '151', '322', '374', '276', '328', '213', '389', '161', '252', '343', '350']
['217', '73', '80', '57', '194', '255', '30', '121', '202', '295', '284', '190', '201', '373', '272', '33', '150', '185', '173', '313', '175', '332', '318', '391', '209']
['122', '376', '42', '32', '301', '55', '207', '312', '212', '154', '82', '145', '58', '218', '293', '372', '52', '181', '274', '132', '211', '141', '179', '1', '394']
['159', '290', '43', '50', '75', '378', '126', '123', '133', '369', '67', '114', '308', '281', '163', '371', '267', '152', '299', '191', '331', '172', '48', '379', '138']
['285', '28', '316', '216', '76', '356', '366', '310', '3', '245', '96', '298', '37', '220', '236', '61', '168', '203', '347', '224', '25', '131', '296', '304', '136']
['247', '128', '205', '235', '266', '107', '396', '104', '219', '363', '208', '238', '147', '221', '16', '62', '199', '226', '38', '164', '333', '349', '365', '381', '259']
['14', '27', '46', '253', '340', '325', '269', '300', '63', '156', '280', '192', '2', '237', '324', '337', '270', '229', '383', '0', '56', '143', '257', '47', '398']
['15', '99', '382', '115', '206', '204', '254', '169', '314', '162', '329', '68', '106', '223', '239', '327', '385', '287', '303', '319', '309', '94', '171', '11', '34']
