['345', '328', '280', '318', '68', '100', '342', '231', '60', '235', '99', '220', '224', '238', '153', '226', '227', '340', '357', '146']
['360', '208', '336', '23', '81', '122', '202', '282', '185', '343', '338', '354', '219', '56', '155', '150', '369', '341', '361', '377']
['2', '1', '42', '306', '98', '93', '8', '180', '88', '94', '84', '117', '101', '319', '315', '5', '254', '316', '295', '11']
['107', '61', '13', '63', '242', '265', '79', '77', '317', '278', '73', '137', '331', '197', '305', '303', '375', '20', '65', '309']
['21', '24', '126', '119', '26', '195', '33', '7', '164', '184', '198', '181', '16', '34', '22', '18', '35', '273', '176', '36']
['71', '301', '69', '125', '127', '356', '130', '66', '267', '161', '72', '76', '139', '204', '234', '124', '78', '92', '221', '132']
['6', '27', '32', '269', '53', '28', '243', '9', '10', '288', '38', '14', '118', '136', '268', '30', '129', '121', '15', '31']
['37', '385', '307', '172', '313', '339', '384', '169', '167', '395', '166', '256', '335', '165', '383', '398', '353', '347', '381', '387']
['173', '255', '108', '134', '182', '47', '82', '95', '89', '170', '378', '109', '322', '138', '103', '115', '96', '371', '252', '140']
['232', '399', '264', '237', '299', '229', '233', '188', '388', '189', '203', '225', '190', '297', '87', '290', '228', '393', '85', '201']
['314', '128', '223', '207', '349', '327', '239', '159', '67', '154', '292', '145', '141', '147', '296', '310', '192', '350', '62', '222']
['262', '120', '247', '178', '298', '111', '131', '286', '284', '40', '211', '352', '133', '277', '291', '200', '358', '351', '348', '287']
['12', '205', '152', '17', '244', '112', '253', '3', '105', '396', '4', '104', '370', '389', '177', '271', '337', '391', '199', '382']
['368', '186', '86', '259', '102', '113', '251', '83', '114', '193', '97', '106', '49', '344', '90', '116', '333', '187', '196', '323']
['230', '236', '300', '160', '289', '144', '123', '312', '215', '293', '214', '285', '248', '281', '218', '329', '294', '210', '213', '394']
['266', '142', '279', '390', '148', '308', '135', '274', '272', '149', '50', '183', '263', '275', '156', '163', '212', '355', '57', '45']
['386', '324', '346', '270', '74', '217', '25', '70', '364', '304', '216', '302', '311', '276', '330', '209', '54', '258', '366', '59']
['320', '245', '250', '143', '374', '321', '363', '380', '373', '325', '392', '283', '257', '334', '326', '206', '332', '64', '246', '397']
['158', '75', '58', '240', '43', '80', '151', '194', '157', '91', '249', '260', '241', '191', '110', '52', '48', '44', '51', '171']
['162', '175', '174', '19', '376', '46', '179', '168', '261', '367', '0', '362', '372', '55', '41', '365', '39', '359', '379', '29']
