['0', '270', '100', '377', '109', '278', '305', '350', '199', '195']
['408', '307', '229', '238', '203', '205', '301', '469', '209', '339']
['2', '373', '449', '378', '224', '258', '335', '352', '320', '226']
['3', '296', '458', '26', '99', '253', '463', '353', '457', '453']
['497', '37', '104', '302', '204', '254', '385', '354', '250', '332']
['141', '418', '105', '241', '311', '343', '300', '8', '405', '435']
['6', '255', '106', '156', '314', '256', '119', '356', '84', '114']
['72', '382', '74', '157', '13', '257', '32', '149', '381', '247']
['50', '58', '79', '158', '208', '164', '202', '47', '56', '403']
['9', '481', '64', '159', '401', '472', '309', '152', '206', '287']
['10', '60', '315', '372', '69', '496', '310', '334', '410', '470']
['370', '480', '111', '161', '222', '261', '321', '361', '411', '162']
['148', '130', '112', '316', '212', '44', '312', '362', '180', '330']
['290', '108', '113', '308', '185', '102', '313', '36', '107', '303']
['423', '200', '262', '139', '214', '264', '142', '267', '251', '363']
['15', '135', '40', '165', '434', '265', '110', '488', '41', '494']
['276', '66', '27', '349', '216', '67', '29', '38', '440', '63']
['17', '221', '48', '167', '217', '30', '317', '367', '210', '467']
['365', '116', '118', '121', '407', '427', '318', '14', '422', '400']
['355', '417', '306', '169', '414', '196', '183', '357', '419', '351']
['20', '70', '76', '498', '368', '19', '236', '11', '120', '460']
['21', '71', '464', '65', '134', '271', '465', '371', '93', '462']
['292', '4', '122', '68', '438', '485', '55', '299', '213', '259']
['388', '73', '151', '153', '223', '273', '445', '397', '327', '234']
['24', '413', '124', '22', '163', '181', '324', '491', '424', '286']
['25', '75', '125', '493', '225', '275', '240', '375', '425', '207']
['173', '474', '179', '176', '452', '16', '455', '188', '426', '476']
['374', '77', '444', '177', '442', '461', '249', '285', '268', '35']
['28', '78', '459', '178', '228', '404', '53', '454', '430', '103']
['232', '338', '129', '126', '101', '279', '235', '379', '336', '395']
['364', '80', '62', '412', '499', '456', '289', '380', '428', '233']
['31', '376', '140', '174', '284', '281', '331', '347', '144', '59']
['344', '82', '88', '85', '269', '215', '486', '487', '298', '482']
['33', '369', '133', '319', '61', '132', '477', '383', '123', '483']
['323', '490', '266', '184', '432', '231', '360', '384', '322', '168']
['304', '182', '52', '466', '329', '150', '154', '398', '186', '237']
['43', '86', '136', '326', '246', '115', '92', '386', '436', '5']
['90', '97', '280', '431', '252', '128', '337', '23', '138', '446']
['87', '283', '263', '81', '54', '288', '282', '18', '211', '328']
['471', '89', '484', '189', '473', '201', '475', '277', '272', '489']
['420', '392', '131', '137', '325', '220', '394', '390', '409', '190']
['443', '447', '448', '191', '155', '194', '433', '245', '441', '389']
['42', '49', '345', '348', '450', '219', '342', '341', '451', '492']
['171', '421', '227', '193', '437', '396', '439', '393', '415', '429']
['333', '94', '192', '291', '346', '294', '295', '340', '127', '197']
['406', '95', '117', '91', '175', '51', '359', '479', '34', '358']
['46', '96', '146', '243', '402', '387', '468', '218', '495', '260']
['12', '366', '297', '244', '1', '187', '293', '391', '242', '7']
['145', '98', '230', '198', '248', '239', '147', '143', '416', '170']
['45', '39', '83', '274', '478', '160', '166', '399', '172', '57']
